UTTERANCE,LABEL
so I got this thing called the eraser and got gandalf spite and then I got a natural bowl and then got this rectangle thing with one of the corners missing,1
got it,0
so I got this house I got an avalanche I got a guy that looks like an indian upside down and then I got a candle upside down,1
did you press done,1
I didnt press done sorry so I have this guy that has a big triangle body and then I have this guy running downward and then a guy I think we call it jumping JT Hitler and god out Jesus scare the crap out of me alone,1
a little bit and then I have a guy running with the fat leg behind him,0
got it,1
I got a loch ness monster with a dog inside of a llama which is inside a little chipmunk,1
I didnt order a two nacho bowl I ordered a one nacho bowl Jesus hard to get good help around here,1
so I got this lady doing a cha cha in a dress and then I got a guy upside down with in their head the first one that has arms a third one is the lady doing the cha cha with no arms and the last guy is Chris,0
yeah I called it,1
and I got Mr. Crabs I got batman swimming I got upside down bird lying and then I got a a pelican slash flamingo looking backwards,0
say that again I had a query sorry,1
thats weird okay,1
so I got I got a shovel and arrow and I got a regular arrow I got a sailboat and then I got an Eiffel Tower,1
I too think I have that,1
so I got the squirrel chasing a whale and the whale thinks the fox is cute but the fox doesnt want that whale because its vertical he wants the upside down whale,1
sorry I was insulting you can you say those again,1
I knew that the first time idiot,0
we we already know that nothing new I got a spaceship I got like arrows pointing to the left I got pac man eating Louisiana and then I got two nacho bowl,0
okay so listen here I got a spotted fox very rare I got this weird looking dog its even weirder and more rare I got batman swimming thats extremely rare and then I got a whale which isnt that rare,1
I think I got it,0
I dont think,0
I got a rear real real hold on,1
I got a were rear ruled dual wheel fox then I got a bunny and then I got a horse looking thing and then I got a goat,0
would you say the house is very small,0
then I have it,0
had upside down flying bird bird flying toward the upper left corner and got a fat ostrich or raptor I got a crow,1
could be,1
kay,1
I got a weird looking dog I got a bunny a cat and then I got crabs,0
yo I got crabs again I got a turkey looking bird I got batman swimming I got seal,1
alright I have hammer Eiffel Tower hot soup and then upside down hammer,0
sideways hammer,1
cool thank you got it,0
um I dont know what the first shape is but the thied second shape is the lady holding a handkerchief this one is jumping JT Hitler and the forth one is a person kneeling holding a triangle,1
uh first ones upsidedown duck with two left feet crow hey Im sorry I didnt know there was two ducks the fourth duck is facing downwards,1
I have fox I have weird looking animal I have small looking whale with his face facing downward and then bunny,0
got it,0
I have tornado I have fish I have ram I have weirdly shaped dog,0
got it,0
I have man laying down I have man one on one foot holding a triangle I have lady in a dress and upside down jumping Hitler JT,0
what,0
got it sorry,1
I have flying raptor I have crow I have crabs,0
I have the last one what was the first three,0
okay got it,1
I have a weird cat I have a baseball diamond I have a weirdly shaped dog and I have a cat with a tail,0
I think I got it,1
I have kangaroo I have a rocket ship I have an animal standing on one foot and then I have a dog,1
i think got it,0
I have flying bird downward I have flying bird flying to the left I have tie it upside down bird flying diagonally and then seal,1
I have a camel alpaca sash alpaca headless dog spaceship and giraffe,0
I think I got,1
bicycle guy sideways with legs split guy kneeling praying and then guy upsidedown with legs split,1
first two again,0
got it,1
I have kicking man holding triangle manhole but and the guy with triangle body,0
got it,0
upside down rubber ducky sideways camel looking bird right up upright camel looking bird and an upside down flying bird,0
I have seal I have a spaceship I have pot I have sailboat,0
yeah I have no idea what Batman looks like so you have to help me,0
so it was Batman lady dancing triangle man then triangle man standing on one foot,1
alright I have I know what the shape looks like but its the one with the triangle sticking on the left side the houseboat seal footprint,0
