UTTERANCE,LABEL
gots a tornado a bunny a hand puppet and a dog with a square snout,0
got it,1
I have a fat crow a rooster a teradactyl and then a flying bird,1
I got a ram a prairie dog a cat and a dog,0
the second ones standing on one foot,0
got it,1
I have a cat a fish a rocket ship and a bunny,0
got it,1
I got a bridge parallelogram a boat and a apple,0
got it,1
I have a large guy looks like hes stepping up a step but he takes up the whole picture almost and that I have a lumpy girl in the dress I have a triangle man his head in the bottom right corner and then I have a girl in a ball dress like a ballroom dress dancing,0
got it,1
is got a sail i got an arrow i got a speedboat and then i got a rupee,0
got it,1
got a stingray a squirrel its got a curly tail and then I got the crab and then the monster,0
got it,1
I have a cat sitting I have like a wiener dog with his head in the very top and then I have the dog on his hind legs and then a rocket ship,0
got it,1
okay gots the triangle man the waiter person on their knees and then the woman in the dress,0
got it,1
the waiter um it kind of looks like a woman in the dress um it looks like shes taking in it looks like shes facing the front and I dont know how to describe her it looks like shes wearing a dress but then the third picture looks like a woman like running to the left of the picture and then I have a woman running down like a smaller woman,0
does the second one have the arm behind it,0
thats the third one the third one has the arm behind her,0
ok got it,1
triangle apple boat and the slope,0
got it,1
I have a cliff a tree a slope and then a bridge,0
got it,1
lets see a boat a rupee a bridge apple,1
I have a big flying bird with his head in the top right corner and then I have like a duck sitting on one leg and then I have a fly a small flying bird and then I have a big flying bird again with his head in the bottom left corner,1
I gots a giraffe a dog a kangaroo and then a fox,0
got it,1
I have a boat a key a hat with two triangles and then like a diamond shaped thing with an extra two sides,0
okay I think I got it its the first ones a speed boat right,0
yeah were looking at the speedboat the key and the hat and the rupee ,1
ok I got a sailboat a pipe a triangle an apple,0
got it,1
I have a dog facing the left a cat facing up a giraffe and the dog with the square snout facing down,0
got it,1
I got the turkey vulture the monster the upside down bird and then the big bird flying up,0
what were the last three,0
the first ones the turkey vulture and then the sea monster then the upside down bird and then the big bird flying up,0
okay got it,1
I have an unfinished desk and upside down plant or like a seal with a box on his head and then an iron and then a mountain with an m cut out,0
okay got it,1
I got upside down I got guy running with the pizza got the woman on her knees and then I got the handkerchief one,0
gotcha,1
I have a funky looking vase or a bowl and that I had the indian the avalanche and then a sailboat,0
okay got it,1
got a boat a tepee a bridge and then a sideways sailboat,0
got it,1
I have a crab a bird flying upside down duck and then the duck with no legs,0
got it,1
I got me a house one sailboat um well I guess they call it hot soup and then the windmill and then the big sailboat,1
I have a triangle a vase the ruby top to bottom its going from the left down to the right and then my last picture is going from the bottom left to the top right,0
okay got it,1
I got a skinny crow an upside down crow a dragon and then the seal,0
got it,1
I had the upside down plant the steaming soup or whatever and then the sideways plant and then a sideways house,0
got it,1
got upside down palm tree the hat dance the saw or half a tree and then the key,0
got it,1
I have the really weird looking sailboat with like the three sails but theyre not aligned and then I have a boot a house and the sideways plant,0
okay I got it,1
okay I got a hoof the soup the boot and then the plant,1
I have the sailboat I have half a christmas tree I have the bee and then I have the full christmas tree,1
um I got the upside down monster the right side up normal monster the big crow and then the sea serpent upside down,0
got it,1
I have the dog I had the rocket ship I have a whale and then I have a dog facing down my first dog is facing the right,0
got it,1
k I got somebody on their back pointing up person kicking up a triangle man running normally and then the last ones running down,1
I have a triangle half a christmas tree a b and then the rupee,0
got it,1
got the woman in the dress the waiter upside down guy and then the person,0
got it,1
I have a sailboat a steamboat an x and then like a crab lookin thing,0
got it,1
got a rupee a pot a bridge and then the crab,0
got it,1
an upside down guy the waiter um us this waiter is like facing to the left and then I have another waiter facing down and then a triangle guy running to the right,0
got it,0
