UTTERANCE,LABEL
Im gonna let you go first,0
okay got that,1
okay so i got a diamond missing out the shape i get the racer i got a boat and i got a tree,0
see it was you all along,0
got that,1
got a hamburger i get an avalanche what is that and then that abraham lincoln oh its a windmill i couldnt think of the word,0
yeah its the windmill i couldnt think of the name its a hammer avalanche wind mill and then abraham lincoln,0
okay got it,1
i see i got half a pine tree a apple and then the last one is an apple skip it,0
yeah you got a oh the second one got a bite out of it sorry,0
ok got that,1
lets see i got a dragon a rooster a serpent and the duck,0
okay got it,1
lets see i got a barn and some scissors a speedboat and a palm tree,0
okay so the first ones flying down the third one is flying up,0
okay i got that,1
okay i got a cake i got a house i got a triangle diamond and an avalanche,1
got it,1
okay got sitting down ox a crab a giraffe and then a bunny,0
oh okay got it,1
okay i got a guy on one oot i got a woman holding out something i think thats the candle woman or care woman whether they call her then i got crab looking thing and then i get the woman holding the carrot standing up the second sideways i just noticed,0
okay got it,1
i got seal boat shark hammer,1
okay got it,1
i gots the hummingbird flamingo flying bird and then the vulture raptor,0
okay ill call a dragon a flamingo flying bird and then the uh the raptor,1
okay i got that,1
windmill arrows a big sail boat two sail boat,0
huh,0
okay got that then,1
i see long arm guy holding out something in front of them guys sliding on his belly and then the triangle guy,0
that last guys running up,1
one got a box boat when the other ones kind of look like sailboats,0
the last one has the three shapes right,0
ok got it,1
i got a hoof i got a candle i got a hammer and then the abraham,0
okay got it,1
i got a rooster a flamingo a flying bird and uh whatever last one is,0
okay got it ,1
i got a kicking guy i got a upside down i got a woman and i got the tumbling guy,0
okay got that,1
i lets see i got a duck sideways flying bird sideways upside down duck and a flying bird up right,0
got a sideways duck,0
and then i have a big flying bird and i have upside down duck and then i have small flying bird,0
what on one you said a prairie dog i thought the one standing up but that one looks like the squirrel to me,0
looks like a goat,0
okay got it,1
okay i got a teapot iron mountain and propellers,1
got it,1
I got a duck I got a crab I got a raptor and then I got a flamingo,0
duck flamingo crab hummingbird,0
okay I dont know why I said thousand on that oh lets see what do I got here some kind of animal weird shape looks like a crab a fish and then open mouth fish,0
yeah its got something sticking out the back of its head looks like a ram yah,0
okay got it,1
got me a bunny a goat a whale and an antelope,0
wait say that again,0
okay got it,1
so you got mountains triangle diamond Abraham Lincoln head and a teepee,0
got it,1
got it,1
I got a raptor flying bird rooster and then the duck,0
ya its got a big fluffy butt,0
got it,1
wow look at these people lets see Im a call this slender man and then theres a dragon eating somebody and then theres a woman with a big head sideways and then the guy running down the small man,0
lets see the first ones upside down the second one is right side up and then the third one is sideways and then the last ones the guy,0
ok I think I got it,1
I got my turtle my fox my bunny and what should we call this guy,0
ok I got that,0
ok got that,0
I hit done,1
huh youll have to say that again,0
got it,1
yeah I was gonna say looks like a buzzard or like a peacock or something with all the feathers behind it,0
I got tetris I got two random shapes I got a weird sailboat and then a weird stingray,1
one looks like a staircase I put that as the third one kind of looks like its going up in this and to the ceiling or something,0
ok I got that,1
see I got a woman a weird shape a reading and the running man,0
you get that,0
okay got it I wanted to make sure,1
yay I got that right okay I got a skinny vulture fat vulture a swan and then the staircase,0
okay got it,0
come on pushed it,0
okay I sideways hoof upside down barn,0
got it,1
gots a boat upside down a windmill and a feather,0
got a boat upside down sales windmill and a feather,0
can you say that again,0
got it,1
okay kinky tail fox a stingray and a hand puppet,0
yeah kinky tail fox stingray hand puppet,0
okay I think are the swans the duck,1
got it ,1
I gots a ram head list dog a fish and open mouth,0
I gots the ram the headless dog fish and then the open mouth fish,1
can you say that again,0
ok got it,1
I gots bunny dog whale ram,0
got it,1
mountain triangle diamond Abraham and teepee,1
triangle speed boat palm trees sail boat,0
got it,1
I gots raptor flying rooster duck,1
waiter handkerchief sideways handkerchief triangle arms,0
got it,1
turtle fox bunny dog,0
turtle fox bunny dog,0
barn boat slope bee,0
barn boat slope bee,0
got it,1
tree boat slope pot,0
got it,1
vulture a sea serpent a turkey vulture an upside down duck,0
got it ,1
seventy five I got sea monster raptor flamingo flying,1
got it,1
boat three sail shark two sail,0
boat three sail shark two sail,0
four hundred feet and then theres a shark for the third one and the second last one has two sales,1
got it,1
flyin flamingo monster upside down flamingo,0
got it,1
house pot sideways pot shark,0
house pot sideways pot shark,0
got it ,1
lets see sharks serpent fish ram,1
got it,1
ram puppet giraffe shark,1
got it,1
handkerchief sword lady upside down waiter,0
handkerchief sword man lady upside down man,1
got it ,0
got,1
got it,1
got it,1
got it,1
got it,1
I got a bunny a fish a dog and a shark,0
got it,1
got it,1
got it,1
I got a duck sea serpent a flamingo and a dragon,0
got it,1
I got a cave a boat a speedboat and then the palm tree,1
got it,1
got it,1
got it,1
got it,1
I got monster a crow a swan and a flying bird,0
got it,1
got it,1
i got three sail a tepee a desk,0
got it,1
got it,1
a fish open mouth a fish swimming sideways a fish swimming upward and then a ram ,0
got it,1
i got the chevron triangle diamond the pot and the shark,0
flying bird rooster crow duck,0
got it,1
got it,1
okay,0
I got a sailboat a footprint upside down sailboat and a house,0
got it,1
I got a boat an upside down sailboat  a windmill and a feather,0
got it,1
I got a kinky tail a fox a stingray and the hand glove puppet,0
got it ,1
got a duck got  a hummingbird a crab and a flamingo,0
got it,1
got a swan dragon a duck and  a flying bird,0
aero sideways bow a cake and a sailboat,0
got it,1
rocket ships sail boat avalanche triangle diamond,0
got it,1
an arrow  shark m house,0
got it ,1
duck crab dragon and a big flying bird,0
lets see apple tp a boat and that last shape,0
I think its a giraffe,1
got the dog got a fish got a squirrel and then I got a goat it looks like a triangle head ,0
yeah its sideways,0
the third ones a bee right,0
okay got it,1
a llama a laying down standing up and the dog,0
got it,1
lets see I got the arrow head the box body the guy reading and the guy kicking,0
got it,1
got it,1
