UTTERANCE,LABEL
okay I have a candle a upside down boat with like a rectangle on it a house and then a birthday cake,0
got it,1
okay,1
okay I have a big bridge a pipe a bitten into apple and then a stove with like a square cut out a diamond,0
got it,1
okay Ive got like this really big gas boat thing with the house on it then another boat which is like a single weird eraser tower on it sideways boat with two sails and then an apple with a bite taken out,0
got it,0
ope,0
nothing did you hit done,0
yeah i just un click done,1
there we go okay I have a rubber duck I have a fat crow I have a really fat bird and then I have a flying bird upward,0
got it,1
Ive got a boat with one sail a weird pyramid with like the letter m on it the rocket ship and then a cactus,0
got it,1
I have Abraham Lincoln the Russian dude the hammer and then the boat,0
got it,1
okay ive got a fox ive got a giant whale a bunny and then i monkey or something or horse,0
got it,1
got it,1
okay Ive got a horse a camel a cat sitting with no tail then a cat sitting on his hind legs with a tail,0
got it,1
okay I have the fat bird I have a flying bird with a small head I have the flamingo looking backwards and then I like a hummingbird,0
got it,1
got a flying bird Ive got this weird shape with like forearms and I have loch ness monster then a swimming bird,0
got it,1
okay I have a pot a speed boat a I think you call this an eraser with part cut off and apple,0
got it,1
I got this like cool house with a tower the unfinished desk and iron and a kettle,0
got it,1
I have an arrow going downwards a cat I have like the boston terrier dog thing and then I have the baseball field,0
got it,1
I have a turtle a bunny a dog and the loch ness monster,0
got it,1
I have a hammer I have a sailboat the Russian dude and then the boat with the cargo,0
got it,1
I have a turtle a snake an anteater and then the terrier,0
got it,1
okay I have the peacock the hummingbird the flamingo and the crab,0
got it,1
Ive got the weird rhombus shape the apple with a bite taken out a houseboat and then a speed boat,0
gotcha,1
oh okay i have the person in the fetal position the person riding a bike um the person like in a go kart but theyre laying down with like a square head and then i have the weird shape that kind of looks like they have a square head its kind of a big shape,0
I think I got it,0
fetal position bike the race car going upwards and then the last big shape,0
okay yeah I got it,1
Ive got the pregnant woman that giant shape from before the person who is like handing you something that looks like a butler leaning over and then I have someone sitting facing to the left,0
got it,1
okay I have the arrow I have the arrow downward I have the arrow upward the bunny laying down and then the weird thing at the bottom,0
nature crimes I got it,1
okay Ive got a ram then I have a fox the loch ness monster shape and then a horse or an alpaca or something,0
gotcha,1
I have the fat bird the loch ness monster the big loch ness monster the small loch ness monster slash snake and then the flamingo,0
gotcha,1
Ive got this this like weird flamboyant guy leaning far out I think its a butler faraway fetal position weird crab shaped and then go cart person,0
got it,1
okay I have the triangle body going upwards the butler person standing on one leg the crouch over somersault guy is third and then the weird big last shape is at the end,0
got it let me start speaking,1
oaky ive got this weird hook shaped thing than an upside down bowl a sailboat and,0
I got it but the first one looks like a seal to me,1
got it,1
I have an upside down butler right side up butler person running and then a weird closeup shape facing to the left,0
got it,1
ok I have a key a palm tree a speedboat and then the boat with the pole on top,0
got it,1
weve got a house with a chimney a sailboat with two sails the sideways sailboat and a hammer,0
got it,1
okay I have the erasor scissors the sailboat and the key ,0
got it,1
Ive got a person falling the woman in a dress someone kicking and then this weird giant shape,0
um is the last one the one she has like looks like shes old fashioned and shes holding a handkerchief,0
yeah and like someone broke her neck backwards,0
okay I got it,1
okay I have a big bird I have a loch ness monster I have a flying bird and then a smaller loch ness monster,0
got it,1
Ive got a flamingo a flying bird a duck with two legs and then a big bird with a tail,0
got it,1
i have the butler that straight up holding a triangle i have the guy thats upside down but his legs are towards the top left corner and then i have a guy whos completely upside down but hes like straight up and down and then i have the butler um thats on one foot thats like going downward,1
does the first one almost look like a hand puppet with a parallelogram as hair,0
uh it doesnt have hair its bald,0
okay,1
oh okay I have the triangle body the race car dude um this guy with a long flipper arm and then a person running upward,0
got it,1
okay Ive got a bird with a tail an upside down flamingo the peacock and then a crab,0
got it,0
alright homie so I got the rocket ship and then underneath that is the ram then the fox and then if you tilt your head to the right it looks like a batman swimming upward,0
got it my speak button and wont turn off,1
sorry my push to talk button wouldnt work okay youre Batman swimming up looks like my submarine so Batman slash submarine is my first one um I have a cat standing a cat sitting and then a bunny,0
I have that,1
all right so theres this sailboat right and it was transporting a whole bunch of animals so inside there was a hoof print and then they ran into another sailboat but interestingly enough that sailboat was captained by abraham lincoln,0
so was the first boat the sailboat and that third boat the house boat,0
that is correct good guessings,0
got it,1
ok I have a shape a slanted or weird parallelogram maybe a apple a vase and a bridge,0
okay can you repeat that again I got a query,0
so my first one is like a parallelogram but its huge kind of like a different way I dont know shape and then my second ones an apple my third ones a vase and then my fourth one is a bridge oh my gosh,0
okay I got it,0
did you get that,0
I did,1
good job on answering the question um all right lets just start off with saying the bridge is first the two are shiz taken out and then its the eraser then a half christmas tree and then it looks like a bejeweled or whatever,0
got it,1
I have a guy running upside down with his hands out a girl upside down reading a book on her knees my third one is a guy falling out of an airplane my fourth one is a guy laying in a coffin,0
girl i got all dem,1
I like it,1
um I have a slope um if you look at it sideways my second one its like a mountain with a door cut out and then my third one is a triangle with two doors cut out and then a reverse slope,0
mhm mhm yep yep mhm,1
okay so heres another story coming at you so theres this this lonely cat thing and he was really hungry so he went fishing and but during his fishing there was a tornado that came through it was like whoosh and its the tornado came from africa so there is a giraffe that was displaced,0
okay got it,1
lets hear a story Chelsea,0
