UTTERANCE,LABEL
all right so theres this apple right and then under that theres a bridge and its got two missing spots and then beneath that is the palm tree and then after that were just going to stay on the tree kind of topic and it is a half christmas tree,0
I have those in chronological order,1
okay,0
all right so theres this guy and hes running but hes also got a tail and so they think hes a wolf man and so he like runs extra fast so to catch them this guy has to ride his bike and like her they are and go and catch him and behind him to like make sure that hes going to do it is this block body guy actually yeah yeah its the block body guy and so hes walking just making sure but what theyre really trying to do is get this other triangle body guy to run and you know,0
yeah,1
I pressed done,0
oh weve got two crabs too many crabs all right the first crab has that little arrow looking leg is in the bottom left while the second one is a backwards looking flamingo sideways the second the whole lawns,0
the third one is the crab and the arrow leg is in the upper left and then the crow,0
got it crunchy no,1
all right the first one i have is a swan its a black swan it doesnt quite look like natalie portman but there is a resemblance after that theres the backwards looking whatever but you know if you want to call the pelican ill call the pelican then its the upside down flying bird and then its the rooster,1
I understand all those  got it,1
no no no no no no not done done,1
all right the first one is a sailboat and its sailing on top of the sea and then after that theres an arrow pointing where it should sail and its sail into home plate,0
that was good I got it,1
I got this cave and in this cave there are some nachos theres a big nacho dip in the salsa and how we got to the was with the sailboat and an eraser,0
yeah man that really took an m night shamble on type of twist,1
and just say no the sailboat the third one is the upside down to about and approaching,1
yeah mask is scary got it,0
so I got this upside down flying bird and then I got this weird looking rubber ducky and I got upside down Batman and then I got a flying down bird,0
youre middle two again please,0
rubber ducky in Batman,0
yeah yeah got it,0
yeah hold on,1
all right so we got this this hammer and it looked pretty hammered but it was made to build the sailboat and the sailboat is like upright and it has three sales looks like a sailboat forty seven knots all right and then its the same exact pictures a second one only sideways and then its the last one,0
yeah,1
I have a tea kettle and the tea kettle is warmed up to make because hot soup and then I got triangles point no left for some reason and I guess its pointing to two house,1
the okay,0
I have it,1
alright I got this ram without a tail and then I got this goat and then I had this kitty cat and then I had a dog on his hind,1
does the second one have a really long neck,0
yeah the first one doesnt have a neck and the second one does have a neck,0
theyd be neck in yeah got,1
all right so we got a couple of gymnast over here and there being all crazy the first one is the tumbling routine simone biles shes doing her shes doing the biles and then we have a loser you know im saying sliding upward toward simone its like im a slide into her dms and then after that we got hussein bolt just run in with this trying alarms and then the last one is some famous bicycle her away dave mira,0
I thought you were going to say Lance Armstrong but yeah I got,0
I got the chevron I got that Abraham Lincoln and I got that weird shape with the triangles together left and then I got a birthday cake,0
cake cake cake cake cake cake,1
okay its now ten minutes just in case you were wondering but we got some some pretty racist stuff going on over here so these white people came over on this boat are like hey were going to kick all of you native americans out and theyre like no way and then Abraham Lincoln came over is like Im going to emancipate you and he did that by playing a sweet tune on the job,0
got it,1
so I got this flamingo that upside down and then I got a hummingbird trying to catch Batman always swims and then I just got a crow,0
I got it the black crows,1
okay I got a whole bunch of birds here first one looks like a bird in the second one also looks like a bird of the first bird is a small flying bird upward and then the next one is like a raptor skull long tail its going to eat some some some and then we got the big bird flying downward and then we got the upside down a,0
got it,0
I got a dog running downwards I got a dog running to the left I got a spaceship and then I got a plane flying downward,1
ok,1
alright I have the squatting camel the backwards looking flamingo the flying bird and then the rubber ducky,0
got it,0
I got the chipmunk I got the weird dog with the triangle as his front foot I got the ram I got the bunny,0
ok,1
I have the big c then theres the boat then theres the jug and then theres the whatever it is,0
got it,1
I got the lady holding the handkerchief I got the guy tipping his hat on one leg I got the upside down guy running to the left with his arm straight out and the person with the triangles for boobs and butt,1
okay is the uh oh ok never mind yeah Im good,0
right I got the unfinished desk the tree the windmill the hammer,0
got it,1
I have the hammer Abraham Lincoln sailboat house boat,0
ok,1
got it,1
I got the speed boat half a christmas tree sailboat and then triangle,0
okay,1
I have upside down raptor I have Natalie Portman I have a flamingo looking backwards on one leg or pelican and then I have rubber duckie,1
yep,1
I got a Natalie Portman Russell Crowe flamingo Larry bird,0
got it,0
I got a vase I got a bong I have rice with chopsticks and then I have a triangle with two doors,0
done zo,1
i have the uh two sailboat three sailboat a house chimney a mountain,0
got it,1
I got Natalie Portman I got a fat raptor I got a pelican and I got a fat Russell Crowe,1
I got the house boot the house with the chimney the mountain and then the triangles,0
got it,1
I got the goat I got the laying down bunny I have the alpaca and then I have the dog with the diamond as the tail,0
got it,1
got it,1
I have dog with diamond for tail I have spaceship flying right I have dog and one foot I have crabs,0
got you,1
got it,1
I have crabs I have upside down raptor I have a hummingbird I have flying bird going up diagonally,0
got you ,1
what are the first two,0
the first one is the arc with two pieces missing then its a triangle with two pieces missing,0
I got it,1
I have a sailboat Abraham Lincoln arrow tree,0
got it,1
got it,1
got it,1
got it,1
got it,1
yeah,1
I got the fox I have the whatever you call that dog that yeah you youll know it the dog until left and then the dog standing on one foot,1
ok I get the teapot the mountain and the step and then the house,0
got it,1
I have the guy running to the right the guy tipping his hat the square body do triangle body did,0
got it,1
got the Russian the windmill the chevron the house,1
I got the flamingo Russell crabs and then a rooster,0
I have arrow crab triangle boat,0
got it,1
I have Eiffel Tower hot soup sailboat cake,0
got it,1
got it,1
I have the woman laying on her back with arms straight up I have a guy running downwards looks like hes wearing a nightgown I got lady in a dress the arms and then I got a person holding a triangle,0
okay,1
all right i got a lady in the dress sky falling down upside down splits and then big arm,0
got it,1
okay,1
square body guy girl in dress reading book and then its the arrowhead,0
got it,1
I have the camel turkey I have the vertical rubber ducky upside down loch ness monster upside down rubber ducky,0
got it,1
alpaca schnauzer rabbit ship,0
got it,1
I have flying bird I have a crab I have flamingo I have raptor,0
got it,1
uh upside down candle triangles houseboat arrows,0
got it,0
lady doing the cha cha person with the long triangle arm lady laying on her back lady with a handkerchief,0
got it,1
I got uh cha cha falling down skirt running up skirt running right,0
got it,1
gotcha,1
say the first three again,0
got it,0
alright I have a loch ness monster camel turtle dog,0
bruh I got it,1
I have hot soup hammer sailboat then rocket ship,0
we got crab palm tree bong bridge,1
got it,1
I have scissors rice boat and then a shape,0
got it,0
I have Natalie I have Larry I have Russell I have raptor,1
got it,0
I have the key the boat the cave the trapezoid,1
got it,0
I have palm tree eraser arrow half a christmas tree,1
donezo,1
all right i have the mermaid reading a book and its like sideways and then its the same picture only upside down then its the arrowhead then its the man dog,1
got it,0
I have rubber ducky seal Larry and then flamingo,0
got it,1
alright I got russell the big bird the pelican or backward looking flamingo and then the triangle winged thing,1
got it,0
I have houseboat hammer sailboat candle,1
got it,0
no okay I have the laying down rabbit the cat the rocket ship and then the running rabbit,1
Roger rabbit youve got it,1
I have handkerchief lady a mermaid upside down splits lady in dress,0
got you,1
i i have the squatting camel russell larry rubber ducky,0
got it,1
alright I got the rocket ship going down the rabbit the spotted fox and then the outback,1
got it,1
alrighty I have upside down I have skinny Russel I have fat loch ness or not fat upside down loch ness monster fat Russel crowe and then Larry,1
yep,1
tornado squirrel with long tail rabbit running down and then squirrel facing right or chipmunk,0
got it,1
alright I have sailboat I have hero I have indian man I have weird shape,1
yep,0
got a ramp a boat a snowman and a art,1
I have what I think it looks like an airplane flying downward I then have a dog with a triangle as his front foot then a dog on his hind legs and then a cat,1
got it,1
ok got the crab the flamingo the long tailed bird and then Batman,0
got it,1
I have vase I have sombrero I have Jack Frost I have palm tree,0
yep,1
fox alpaca rocket ship bear,0
got it,1
I got triangle I got cave I got a speedboat I got upside down sailboat,0
could you do that again sorry,0
I have triangle cave speedboat upside down saliboat,1
I got it,0
theyre alright seal Natalie I know its not the same one but it looks like one Batman and then flamingo or pelican,1
got it,1
alrighty I have the sailboat with what I totally got that right thats b s alright I have the three sails and then I have the sailboat sideways the chevron and then the double sided arrow,1
got it you know Ive never seen Ive never seen the second one until like you said it was sideways always like how is that a sailboat but I get it now,1
alright I got scissors and a pipe and a cave and a sailboat,1
all right i have russell i have natalie i have larry and i have rubber ducky,0
that rubber ducky needs a name,1
all right i got a the turtle like squirt from finding nemo and then kangaroo jack and then the home plate or whatever baseball diamond weird squares and then the crab,0
got it,1
alright I have a guy with an arrow as a head I have a woman running to the left a butler dude and lady with a handkerchief sideways,1
got it,1
a cave crab triangle boat,0
got it,0
