UTTERANCE,LABEL
lets see I got a hill I got an eraser a pipe and I got a bridge,0
got it,1
i got a hummingbird i got a a flamingo i dont want the most like a shark and then the crab,0
I think I got it,0
yeah the sharks got like a hammerhead shark its weird,1
I got a christmas tree I have a christmas tree a like a boat with like a house on it and then a bridge and then like a bong,0
I got it,1
okay so I got this guy with a long arm and I got the crab I got a guy running uphill and the guy upside down,0
got it,1
got a laying down bunny loch ness monster an alpaca or llama and then a kangaroo,0
was first one a bunny,0
okay got it,0
I pushed done I dont know why its not working,1
I think it was waiting on the query,0
whose turn is this one looks like a bunny or scissors a speedboat a furry and an apple,0
what was the third one,0
it looks like he has ears and its got like a diamond head almost,0
got it,1
rectangle missing with a missing right corner the bong the letter c and it looks like its got a diamond and a thing sticking out of the right almost looks like a gun in a way,0
have you seen a skeleton key looked just like it,0
yeah that makes sense lets go with that,1
upside down man walking man walking uphill man woman,0
only upside guy upside down guy and then the guy walking down hill yeah the guy walking up hill and then the last ones a woman,1
flying up bird fuh flying bird flying to the left loch ness monster and a crab or throwing star,0
the first ones flying up,0
yep,0
okay got that,1
a hummingbird a frigging vulture what is that thing and then the loch ness monster and then the crab,1
a duck facing downward with two feet on the weird looking thing if you call a dragon I dont know the two triangle one a rooster and a upside down flamingo,1
got the dragon the vulture the upside down loch ness monster and then the raptor,0
I dont know what you said sorry,0
youve been getting these all wrong I got the dragons and got the crow I got the loch ness monster and the raptor,0
cool,0
got it,1
I got a cat with no eyes and has his ears and then the pipe and then a trap or rhombus and then a speed boat,0
and then the sailboat,0
thats a speedboat,0
yeah ok got that,1
swan dragon vulture hummingbird,0
got it stupid button wont work,1
a person with a square body walking down or person with two triangle arms running downward his heads pointed the right I dont know what that shape is in a person a skinny person holding up a triangle and then a square,0
got it,1
gotta goat gotta stingray got a fish got a dog or the weird shape i dont know,0
what was the first one,0
a goat it looks like it has a triangle for a head,0
that was the first one thought it was the last one so so just say them again I got the third one but what were the other ones,0
this ones looks like a goat it has upside down triangle on its head and then the stingray,0
so this is what I have I have the first shape looks like a sock puppet right and the next one looks like a baseball diamond then a fish and then a dog,0
okay I got that,1
okay palm tree person key and then a missing side,0
I dont know what you said,0
palm tree and then the person it looks like a person standing up like a snowman a key and then the shape with the missing piece,0
got it,1
I got a flamingo looking backwards sideways duck upside down with two feet looks like a seal facing upward and a seal facing downward,0
ok I think I got that,0
yeah definitely got that,1
so I got a bridge a speedboat a sailboat and then the apple the sailboat looks like a house on it right whatever to do boat,0
is the apple the last one,0
yeah its got a bite out of it,0
think I got em,1
oh I got a diamond with flat edges a pipe triangle two doors and a bridge with two doors,0
got it,1
got a boat got a shark got a windmill and then I got avalanche,0
think I got it,1
a laying down bunny an animal with two feet a dog and then a laying down fox,0
got it,1
spaceship um baseball field a sailboat and then Abraham Lincoln head so spaceship baseball fields sail ship and then the Abraham Lincoln,0
I got it,1
what looks like a person running with their arms straight out the person holding up the upside down triangle someone kicking something and a person running downwards with triangles as his arms,0
okay I got that,1
got a kangaroo I got the new shape I got the bunny end then I got a fish,0
got it,1
I got a flamingo sideways looking backwards a flamingo looking backwards upside down a flamingo and then a seal,0
got it,1
a vase got a tree with no branches an arrow and then the shark,0
what were the first two,0
oh the vase and the candlestick,0
alright got it,1
first one is a boat was like a chimney or whatever sticking out of it and then a snowman with triangles and then a skeleton key and then a pipe,0
got it,1
see Chinese man running up the hill man dog man and then that guy is on a bicycle thats cool,0
is one of the guys laying on his back with a triangle or house as a head is that the first one,0
