UTTERANCE,LABEL
alright I got the apple the triangle the barn and then the boat with the square taken out of it,0
got it,1
got the hammer the house the double sided arrow and then the sailboat,0
got it,1
got the vase eiffel tower boat upside down and then the line,0
got it,1
first one is the abstract looking shape then the llama then the squirrel or the rat and then the giant x,0
got it,1
okay I got the upside down duck the same duck as the first one but its going down and then the square duck and then the um stuck with the two feet,1
first one is the steamboat second one is the steamboat but it has the giant or the skinny stack on the on the right side then I have the apple then i have the yacht,0
uh did you say your first one was a speedboat,0
alright I got it,1
okay I got the abstract um little thing with the rectangle taken out of it the upside down duck um the third one just like the second one but its sideways and then the last ones the upside down little duck,0
got it,1
first one is the bird with a triangle wings then I have the flamingo then the giant x and then a triangle body bird,0
got it,1
okay got the key the sideways sailboat the sword and then the rectangle the triangle taken out of it,0
got it,1
got it,1
okay I got the the big a triangle bird standing up and then the second one just like the first but its upward third ones the turkey and the last ones the seal,0
got it,1
my first one is the triangle with the junk coming out of the left then I have the house and then it kind of looks like a boot or a house with the roof at the top of the steps going up and then I have the sailboat,1
first one is a sideways swan then I have the vulture or the falcon then the upside down swan and then a snake,0
got it,1
got the arrow pointing down the dog the square without and then the giraffe looking stick figure,0
got it,1
first one is abstract then I have the snake then I have the x and then I have the dog,0
got it,1
got it,1
first one is the shark or shark fin and then I have the praying mantis or kangaroo then the weird looking dog with the square snout square nose then the llama,0
got it,1
first one is the triangle then the vase then a speedboat and then the c,0
got it,1
the first one is the upside down dog or kind of upside down dog then i have the man with the long arms then i have the man holding the triangle looks like hes i dont know a guy i mean then then the arrow going down,0
got it,1
I got the flamingo the upside down seal and then the seal-- the normal seal and then the turkey,0
got it,1
I have the triangle with the top cut off then I have the apple sailboat and then looks like a looks like cats ears,0
got it,1
I have the upside down flamingo the upside down turkey the um duck with the two legs going down and then the bigger turkey,1
got it,1
got it,1
first one is the one with the arrow facing up then I have the crab the yacht and the apple,0
got it,1
the turkey the duck with no feet the raptor looking bird and then the boat with all the stuff on it,0
got it,1
first one is the iceberg looking thing with the point at the very top then I have this sword with the handle at the bottom and it have the scissors then I have a sword with this the handle in the upper left,0
got it,1
okay got the triangle with the two rectangles taken of it the christmas tree the apple and then the boat,0
got it,0
oh yeah my first one is the triangle body and hes like running up and then someone like on one side holding a triangle and the person doing like a somersault and then just like a bunch of like triangles ,1
got it,0
my first one is the seal my second is a giant face or the bowl my third is a sailboat and my last one is the giant t,1
I got it,0
I have the like mountains with the tunnel going through it then the upside down boat then the pipe then the bridge,0
got it,1
got it,0
my first one is the boat with the giant stack on the right side my second is the yacht my third upside down palm tree and the last one is the key,1
my first ones the house then the hammer then the boat then the like random shapes and theres a triangle in the front,0
got it,1
hold on,0
my first one is the giant x or the scissors my next is a sailboat my next one is the parallelogram looking thing with the speckles in the top right and bottom left my last one is the key,1
I got it,0
my top one is the smaller one with the lady in the dress then the person running downward then the like big lady in the dress she holding like a triangle and the person like kicking or touching their toe,0
got it,1
okay my first one is the giant bird his head is on the bottom left  my next one is a giant boat you could say my next one is the over sized turkey with his head the upper left and my last one is a snake,0
got it,1
my top one is the flamingo then the turkey then the duck with the feet and then like roadrunner and it has like a really long tail,0
got it,1
got it,1
my first one is the dog with the giant head my next one is the fox laying down then the weird looking dog looks like hes barking and then the fox laying down with the two ears i mean the bunny laying down,0
got it,1
my top ones a person like throwing a blanket then the person with the triangle body then the person like on the slip and slide and then the like it kinda looks like someone running but they have like no upper body,1
okay my first one is the road runner my next is the upside down flamingo then the bird with the giant triangle body and then the weird looking x,0
got it,1
got it,1
got it,1
my first one is the slope my next is the x or the scissors then I have the sailboat with the giant triangle on the right and the smaller triangle on the left and then I have upside down sailboat,0
got it,1
my first one is the vase upright my next one is the vase and its facing the left then I have the hammer and then the steamboat,0
got it,1
got it,1
my first one is the oversized turkey and his head is in the upper right the upside down bird with two feet the giant x and then the crow the crow or the vulture,0
got it,1
I have the-- I have the upside down apple then the rhombus or whatever I dont know and then the boat and then the right side apple the right way up,0
got it,1
I have the boat then the b then the steamboat then the mountains with the tunnel through it,1
my first person is upside down my next one is a weird looking upside down shape I think an upside down dog my next one is a person on the slip and slide and my last one is a lady in a dress with no arms,0
got it,1
I have the thirty percent um the boat and then the mountains with the tunnel through it then the arrow then the I dont know whatever the triangle with the top cut off,0
got it,1
my first one is the sideways birthday cake the upside down boat the upright sailboat and then the iron,0
was it the upside down boat then the right side up boat,0
yeah the upside down is second and the upright is third,0
got it,1
my first one is the llama my next one is a squirrel and then my third is a snake and then my last one kinds looks like a dog with a long tail,0
got it,1
got it,1
I have the bird then the squirrel then the snakethen the like other random shapes,1
hold on,0
got it,1
I have the like the dog barking and then I dont know it kinda looks like a lamp it on its side then the rocket ship and then the llama,0
got it,1
okay I got,1
my first one is the turkey my next one is the weird looking boat then the road runner and then a giant x,0
got it,1
i have the x the the like peacock then the turkey then the roadrunner,0
got it,1
my first one is the vase the iron sideways windmill and then the seal,0
got it,1
I have the upright boat like the normal like way then the mountains then the half a tree and then the like boat thats on its side,0
got it,1
I have the half a tree the upside down boat the right side the right way pipe and then the sideways pipe,1
got it,1
first one is the apple my second one is the one with the arrow facing up then the oversize sailboat and then the apple upright,0
okay I got it,1
ok I have the arrows pointing to the left then the house with the long chimney then the boat thats upside down and then the like thing with the square on top,0
all right i have a sideways rooster i have an upside down flamingo an upside down duck with two little legs and then a bird with two wings,0
got it,1
I think I got that,1
sorry I guess I didnt I have a like sea monster thing I have a bunny I have a cat with white dots in it and whatever the last thing is,0
I got it,1
Ill just go I have a person with like a tail then I have a person doing a somersault bent over the waist I have a lady with two arms up and then a person with the foot straight up in the air,0
got it,1
I have the duck with no legs and then the duck that has legs and upside down then the bird with the two triangle wings and then the like vulture,1
thirty percent okay I have a sailboat and then I have an upside down indian face then I have a desk and I dont know what this big last thing is,0
ok I think I got,1
I got it,1
got it,1
I got it,1
I have a christmas tree I have a sailboat I have this like tiny object and then I have a big object,0
I got it,1
I have the like JT calls it like a loch ness monster and then I have the kangaroo and then I have like a snake and then I have like a rocket ship I guess,0
I got,1
I got it,1
okay I got it,1
okay I have a camel I have a cat or a fox Ive heard it called both then I have a fish and then this last thing Im not sure what it is sideways and the heads at the bottom and theres like a fin in the middle,0
I got it,1
Ill go again I have a upside down palm tree and I have a sailboat then I have what looks like home plate on a baseball diamond and I dont know what you call this uh its pointed straight up the pointy part of it is straight up its like a rectangle or slope or something I dont know,0
I got it,1
ok my top one is the like snake my second one is the duck with no feet then the like x looking thing and then the flamingo upside down,0
done,1
oh my gosh this is going to be hard ok my top one the person has like a triangle chest my second one its like a person laying down sideways a third one its a person standing on one foot and the bottom one its like a big hold on,0
its like the last one is like a big sideways person with a triangle hand or something,0
got it,1
got it,1
okay I have a person in the fetal position I have a completely upside down person with like a triangle in its hand then I have a sideways person with a triangle in its hand and then this last one is just a big picture I cant even tell what the hells going on there,0
I got it,1
got it,1
oh boy okay I have a person on one foot bending backwards with the triangle chest but a its the smaller of the two triangle chests thats the first one the second one is the larger of the two triangle chest bending backwards on one foot then the third one is like a person on two feet with the triangle chest and the fourth one is a person standing there with like a triangle hand on the left side,0
I got it,1
my bottom one,0
okay I got it then,1
ok my top on someones lying down flat um my second one is a person with the square body my third one is a person running towards the left and their like not like theyre real its like the whole picture and then my bottom one is a person in like a skirt,0
done,1
okay a person laying down person upside down doing the splits a person like flying or lying down stomach first and then the bottom one I dont know a person on its knees,0
I got it,1
I got that,1
