UTTERANCE,LABEL
got it,0
maybe  not,1
tip,1
okay lets talk about what I have I got the old rabbit I got the camel got a weird old little fishy and I got super shredder loch ness monster,0
I got it,1
I got a rooster I got a flamingo I got super shredder and I got a big ole flying bird,0
I got it,0
button,1
I have crab big weird bird duck flamingo,0
done,1
speak well and go ,1
I have decapitated dog running dog squirrel fox ,0
I think I ten minutes okay they got running dog squirrel fox the first one doesnt look decapitated  a dog but I guess I got it,0
it doesnt have a head it just has a long neck,0
oh thats sweet hes decapitated,0
he thinks hes people,0
on my I on the area,1
okay uh dang I did miss a rough sideways rubber ducky big flying bird upside down rubber ducky other flying bird,0
have it,1
I dont know what happened anyway a flying bird big bird upside down weird bird drag on,0
I missed a lot of that because for some reason youre very very quiet and the like the query came on,0
that is query anyway I said a flying bird big bird upside down weird bird drag on,0
got it,1
I gots the dragon I gots an upside down crow I got crabby oh and then I got turkey,1
palm tree triangle bow to cat head,0
got it,1
I have a hummingbird a loch ness monster flying bird,1
I got a bike I got Lance Armstrong uh I got walking square chest walking downward I got a triangle chest and I cant even tell whats going on on this bottom one with,0
yeah that bottom one just as a stack of crap,1
flamingo crow crab seal,1
okay big running dude big triangle chest dude arrowhead and uh laying down of a weird arm,0
got it,0
what is with this,1
I got weird fish I got camel I have okay now we have two stupid looking dogs the first stupid dog as front two legs are like two little triangle points the that yeah and he has like a human leg as his back leg and then the bottom jaw just three little pointy legs,0
good description for the two stupid dogs got it,1
I got bear I got bunnie I got camel I got a squirrel,1
I have a palm tree I have a speed boat I have a bridge and a house boat,0
a houseboat oh my god,0
youd think a house boat or be about a boat is a house or a house thats a boat,1
okay somersault dude lying on some stomach the weird arm uh upside down dude and other dude anyway speak,0
the bottom guy looks like he just got fired and hes carrying all of his stuff,0
poor guy,1
I got to pot I have a sale oh Ill start over two arrows pot sailboat,0
you didnt have to start over I had that I got it ,1
home plate big ol apple palm tree mexican hat dance with killer triangles eating its tacos,0
theyre nachos,1
I got a ram fox fish camel,0
he said again,0
ram fox fish camel,0
can you say that again no not really Im done,1
crab super shredder llama decapitated dog in,0
I got the dog hitting done,1
apple hosueboat pipe and the bridge,1
I have a candle I have a houseboat I had to step and then i have the sombrero nacho hat being dipped in two by two nachos,0
tekken tacos got,1
rooster rubber ducky swan dragon,0
got it,1
lets talk about those flying bird and thenthis duck this hummingbirds weird and then theres the loch ness monster thats crazy,0
fifty percent got it,1
lets talk about bunny baby lets talk about camels too then I got a fox that looks like a cat and then followed up by squirrel and then,0
I was so excited about the song that I think I got the order wrong was a bunny campbell fox squirrel,0
yeah you got it right,0
I love that song,0
its just it speaks to my heart you know it goes down to my soul,1
I have a fish baseball field a dumb dog super shredder,0
point delta okay I got it,1
I got a camel got a dog with a square snouts square snout and then I got a parallelogram grand with a few triangles out of it theres a couple of grams and a parallelogram its ok though and then I got another weird animal I have no idea what it,0
thats a picassos dog,1
the dog I got,1
flamingoes seal crow flying bird,1
triangle bridge boat vase,0
got it,1
turtle fish dog oh I guess is another fish this last fish has like a diamond head it at the top,0
I have saar on,0
thats right I got it,1
I have a rooster a flamingo a flying bird and a big bird,0
the way it did,0
I have a hoofprint a sailboat upside down a house with a tree and then sideways sailboat,0
got it,1
a dog with a box now facing left the dog facing down a crab in the square on its hind legs,0
got it,1
I have a houseboat a sailboat um an indian guy and triangles,0
got it,1
a tea kettle an iron mountain and the indian,0
got it,1
I dont know if its my turn or not,0
oh I have a dog with like a weird tail or head Im not sure which one fox a stingray and a hand puppet,0
got it,1
I have a sideways flamingo um a sideways chicken a sideways duck and a crab,0
got it,1
a duck a bird a crab and a flamingo,0
got it,1
I have a unicorn looking thing a fish um an upside down guy wearing a triangle hat and a dog looking back,0
some people say this is a dog with its head cut off,0
okay can you repeat those please,0
