UTTERANCE,LABEL
I checked my check,0
yeah yo got no snared my headphones,0
me neither brother so I have this birdie hanging upside down it could be a bad but Im not really sure and then this other one he has a hook like his neck in his head make a hook and its to the right and then I was upside down floaty or this floaty thats upside down and then I have a like a wind up bird that was that copper around cross table,0
dude I got that,1
is this thing with two humps an animal with two humps um it looks like a really hard level on like mario or something and then a chicken leg and then an animal with two big ears and a square head,0
what uh what was the second one,0
looks like a really hard like mario level like theres this platform that a ramp and then this trapezoid sticking up to stop you from like jumping over it perhaps like side hop like wall hop to get over,0
as I thought I got,1
did so I got this like the first thing like a sombrero and that is crazy that I have a you know like a teepee now we have two boat thingies the third the first boat thingie the bottom of the boat is facing the right and the fourth one the bottom of the boat is facing the,0
hang on hang on I have a query,1
what I got,0
dude,0
dude screw you its your fault,1
I got a yellow a it looks like a giant fish doing a backflip on I got really stuck up animal because its tail and head straight in the air a pin jada and then on the Mario level ten minutes,0
cool,1
or a think Ive got,1
j t,1
so I have so I have a ninja star with its flying into a box and then I have a dude holding a limbo thing to saying um and then person long jumping upside down person like dancing with the pizza,0
upside down,0
got it,1
got it,1
so this one the horror movie the guy at the top is running from the killer lady who is slowly walking and will definitely not catch up to or will definitely catch up to and even though the top guys running and then the third guy hes in the ground hes buried with the bird house and then the guy at the bottom is he doesnt know what hes doing,1
ok which is the guy whos running away from her is a running upside down or the correct way,0
correct way,0
I thought so based on how the story worked I thought that made the most sense so I have,1
gotcha,1
I have this this hummingbird and hes flying down and hes like attack attacking this one probably sucking the blood out of it because hes like a different type of hummingbird is like a vampire hummingbird then I have this bird flying away because he sees it and hes like Im outta here and humming birds cant fly that high so Im outta here then the bottom thing is like a flightless bird and he just he screwed you whats really sad that hes next,1
got it,1
ok forty one,0
okay so I have this bird hanging upside down its that bad thing again the dragons like oh shit on not the fucking roost lookin,0
not the king of the roost anymore bro so hes flying up in his bat trying to hit it down while the seal is just showing hes the hes posted not because him and the dragon or friends and then this one is upside down,0
dude thats beautiful,1
I dont other altogether it hell yeah,1
okay was talking about this this one is pretty crazy so there is one bird flying upside down and theres one bird flying up so theyre about to meet and like you know like hawks mate theyre going to meet in the sky and are going to mate and theyre going to try and you know finish before they hit the ground but its not going to work because waiting in the ground is a rooster whos picking up the remains because they didnt finish in time and then theres a loch ness monster just hes like man thats why I dont fly I stay in the water,1
this sounds tricky,1
