UTTERANCE,LABEL
so I got the the fetal position man the the second one looks like a person kneeling with its arms out zoomed in and then the third one is the skinniest one and the last one looks like someone hiking,0
gotcha,1
alright so the first sign is a bear lookin one the square head and then the second one is the rocket ship going right the third one is the rocket ship going down for the air going down and then the kinda looks like the loch ness monster,0
oh i i got you,1
got it,0
so I got the upside down sailboat and then the one after that is the regular sailboat and then the third one is the sideways a sailboat and the last one is the the square shark,0
I got it,1
alright so I got the batman whatever for the first one and then the second ones the big turkey third ones the raptor and the last one is a square with shapes coming out of each corner,0
gotcha,1
so the first one is the eagle looking thing going down the second one is the shark looking thing with the triangles on each side and then the third one is the bear five minutes and then the last one is the animal looking thing with scout like a parallelogram as that tail,0
I got you there,1
alright so the first one looks like pikachu second one is the sailboat and the third one kind of looks like a zoomed in key and then the last one is a rectangle with the triangle missing,0
got it,1
so the first one is the sideways house but it has a door missing and then the second the Eiffel Tower and then the third the christmas tree and then the last one is the sideways house,0
you said the arrow was the third,0
alright so the first one its the spotted fox and then the second one is the rectangle with the s with all the shapes coming out of it and then the third one kind of looks like a camel without the legs and then the last ones the kangaroo,0
got it,1
so I got the falcon and then the Batman and then the Natalie Portman and then the crab,0
what was your third one again sorry,0
got it,0
I got a sideways sailboat the air force symbol upside down sailboat and then the house,0
it kind of looks like like half of it,1
um okay the first one does it does have a square snout,0
got it,1
yep,1
got the fox the home plate the rectangle with all the shapes coming out of it and then the last one there is a triangle on the bottom right hand corner,0
with the last one you said looks they youre sitting in the last one for me has like a square in the left top left corner and then the third one its a rectangle and then on the ends of it as like shapes coming out of,0
got the sideways flamingo the duck the crab the road runner,0
yup yup,1
okay got the fish shark the dog with the long neck the arrow pointing down and then the gazelle looking thing with all the triangles on it,0
okay I got the natalie portman the raptor the rubber ducky and then the turkey,0
got it,1
Ive got the arrow cake sailboat and then the sideways sailboat,0
gotcha,1
got the bird a sailboat the cliff with the stuff falling and then the triangle diamond,0
yep,1
construction sign Abe Lincoln m with triangles missing and then the house,0
Im sorry what was the first one I got a thingy,0
wait is that the turkey one,0
alright now I got it  thank you,1
I got the rubber duck crab raptor and then the big turkey,0
yep,1
apple triangle houseboat and then the sideways diamond,0
got it,1
got the arrow the dog with the diamond tail then the dog facing sideways and then the other dog thats normal,0
got it,1
all right so i got the llama the fox what the spots in it and then the fox and then the dog with four legs,0
got it,1
so I got the arrowhead the man square man walking down the rectangle man holding a triangle and then the man kicking,0
well ok I got it,1
okay so I have the petrus the sideways sailboat the normal sailboat and then the house,0
I got the girl dancing the zoomed in guy kneeling rectangle man and then triangle man,0
gotcha,1
ok I have the sideways falcon and then I have the black swan and then the loch ness monster and then the otherhold on,0
and then the last one  its a bigger falcon,0
yep yep,0
gotcha,1
sorry my button was stuck ok I have the guy kicking and the second one hes kneeling and then the third one is the lady in the dress and then the fourth on the lady in the dress but shes sideways,0
got it,1
