UTTERANCE,LABEL
alright I got the ninja star batman swimming seal and upside down rubber ducky,1
got it,1
all right so i got the uh the boat is the first one and then the crab looking thing is the next one and then its the square with a trapezoid on it and then its the diamond with a couple of triangles,0
got it,1
I got speedboat uh weirdly shaped rectangle pipe and then cave,0
yep,1
all right so i got the rocket ship then the dog running to the left the dog running down and then the oddly shaped triangle feet thing,0
kind of looks like a goat got it,1
alright I got the hot bowl sign like a hot cup of soup and then arrow and then a house with a staircase leading up to it and then a tree,0
yep got it,1
I got the flying bird the smaller one and then its the bigger flying bird and then its the rooster then the flamingo,1
first two again sorry I had a query,0
its the smaller flying bird and then the bigger flying bird,0
alright got it,1
I got a pot a rhombus a weirdly shaped rectangle and then a speedboat,0
got it,0
we got the chevron or an arrow and then we got the teapot and then the boat with the connected sails and then the boat on the side with the unconnected sails,0
got it,1
I got a bird with a large hump on it seal ostrich with triangles for feet and then upside down flamingo,1
yup,0
all right i got a upside down guy with splits big triangle body dude upside down arrowhead and then uh shape,1
I got it,0
alright I got uh that thing you call I forget what its called the dog with this schnauzer I think it was I dont remember but the and then a fish and then a fox laying down,0
okay,1
I dont know whats up with that one I think I fucked it up um weve got the arrowhead the triangle body guy the triangle armed guy running down and then the very large awkward shape,0
got it,0
I got upside down crow loch ness monster flamingo and then hummingbird,1
could you say those again for me please,0
I got upside down crow loch ness monster flamingo and then hummingbird,0
I got it,1
got it,1
I got the bong I got the ramp I got the bridge and then I got the rectangle missing corner,0
okay,1
all right i have the hexagon and then the triangle that has two squares missing and half christmas tree than the diamond with the triangles on it,0
got it,1
all right i got a three legged dog looks like or like it or whatever a bear on animals standing on one leg and then a cat perched up with no arms or tail ,0
got it,1
yeah okay I got the rabbit then the dog running to the left and then the dog with the huge tail and then the fox laying down,0
I got ,1
alright um this one weird weird shape guy diamond on top and then a triangle to the left and then a person standing on one foot holding a triangle a third one is a person holding a triangle but its a little bit a little bit more distorted than the other one and the last one is Chris,1
that is Chris holy balls but yeah you say the second one is the fuzzier one,0
uh no the third ones the fuzzier one,0
yeah yeah yeah yeah yeah yeah yeah yeah,0
I pressed done,0
me too,1
all right so i got the arrow and then the house with the the door missing and then we got the boat with triangles next to it and then the last one is a boot you described it as a house with uh stairs earlier but i like to think of it as a boot,0
yeah I could see like an ugg like a crappy made ugg okay I got it,1
I got an iron footprint a hot soup and then the letter e or a desk,0
no soup for you but yeah i got all this,1
okay weve got the triangle with the missing doors the boat the key and then the block,0
got it,1
I got the weird shaped flying animal the two triangles upside down ostrich batman swimming upside down and then the ninja star,1
got it,1
okay I got batman swimmin seal ninja star flying bird,0
oh the,0
i got a cat with no tail perched and then I got a dog with a diamond furred tail and then I got a weird shape and then I got Batman swimming,1
give me one second,0
okay does your third shape kind of look like a plane or a whale,0
yeah I can see a plane definitely yeah,0
okay I got it,0
okay I got the the the boat with one triangle in the middle the boat with two sails the cave with no tri- it looks like just a giant arc and then last one has like a perfect square missing,1
I like to think of the third one as the letter c but you got it,0
yeah that does look like a c,1
got a person standing on one leg holding a triangle I got a person running with a triangle body a person with the arrows of the head upside down and then a person holding a triangle upside down,1
got it,0
alright I got the uh ninja star crab the upside down spaceship oh wait theres two ninja star crabs okay so the first ninja star crab has the like really crooked leg it almost looks like an arrow ish to the right upper corner and then the next picture this is the next one in the sequence allows the first one the next one will be the exact opposite of that one its the the crooked leg that almost looks like an arrow is in the upper left hand corner and then its the spaceship and then the kangaroo,0
got it,1
I got a person kicking a football I got a person upside down with an arrow as a head a person with one leg holding a triangle and a lady in a dress,1
I got the fish and then this schnauzer and then the ram and then the other schnauzer but the nose is to the left in the last one,0
got it,1
I have the turkey then the flamingo and then the loch ness monster and then the other like flamingo looking thing and its heads like on the left hand side,0
gotcha,1
okay my top ones the turkey then the flamingo then the rooster then the road runner,1
Ive got the half a christmas tree then the like big like barge boat or steamboat and then the trapezoid with the three triangles and then the key looking thing,0
got it,0
I have the fox with the dots on it then the like ram then the whale then the squirrel,1
got it ,0
Ive got the pine tree then the trapezoid then the sailboat then the parallelogram,0
what was your top two,1
got it ,1
gotcha ,1
can you repeat that I was more concerned as to why my answer for my querey hasnt been graded,0
I got a query one second,1
got it ,0
I got the okay so my top ones the lady with the dress but shes like facing the right way then my second one is a person like jogging and then my third one is the same lady as the first one but shes tilted and her heads her like hands are facing the ground and the person doing the splits upside down,1
got it ,1
all right the first one i have is like the big block and then the apple then the rooftop and then the like a boat which is like one little triangle on top,1
got it,1
I have the swan then the like peacocks whatever has the like square body then the turkey a flying its heads in the top right hand corner and the same bird and its head is in the left hand corner,0
gotcha,1
did you have the road runner first and the swan last,1
yep,0
got it ,1
got you,1
I have the weird looking like dog thing it has a triangle on the front and then two in the back and then what looks like its heads probably on the left hand side then the giant square with a little triangle in it and then the like bear and the other thing that has like two little triangles coming off each side,1
got it ,0
got it,0
I have the like eiffel tower and then the hammer and the windmill and then the shark thing,1
ive got the top hat then the sailboat then the like i dont know it looks like a tower of a castle or something and then a house with a chimney in the garage,1
sector search I have the triangle then the key then the crab then the boat,1
gotcha,0
got it,1
ope hang on,0
okay I got the x then the turkey then the upside down duck and then the like loch ness monster thing,1
got you,0
um Ive got the rocket going sideways first and then the arows with like the two triangles overlapping pointing down and then the first dog is on its hind legs and the third dogs got the like square snout,0
your rocket ships first right,1
yup and its going to the right,0
got it,0
I got the kangaroo then the dog then the girraffe then the rocket ship,0
got it,1
I have the upside down umbrella then the arrow then the arrow okay so the top second first arrow is pointing to the left and the second one is pointing up and it has like triangles and stuff and then my last shapes like bridges the two poles missing,1
got it,0
got it,0
Ive got the big block first then the weird loch ness and the kangaroo then the like rat,0
got it,1
Ive got the like big peacock looking bird I guess then the loch-- actual loch ness monster then the upside down crow and then the upside down flamingo,0
got it,0
I have the snake and then the loch ness monster and then the peacock then the turkey,1
gotcha,0
Ive got the sailboat upside down mountain the triangle and the square and then the top hat,0
I dont see a sailboat anywhere,1
yep uh so I got what I call a sailboat first and then the upside down mountain then the triangle and the square and then the top hat,0
okay got it,1
gotcha,1
all right ive got like weird like block with the shapes coming off the corners kind of looks like an x then the big turkey then a little turkey and then the upside down flamingo,0
got it,0
okay I have the like big roadrunner thing and then the swan and then the turkey and then the seal,0
and you suck for getting that wrong,1
got it,0
I got a boat upside down mountain Eiffel Tower and then the sideways sailboat,0
got it,1
turkey giant triangle bird upside down road runner last one,0
got it,0
sideways sailboat triangle sailboat and then crab looking thing,1
got it,0
house bull sailboat upside down boat,1
got it,0
a sword looking thing uh the two triangles are in the upper left and then the same sword bottom left the two triangles and then the diamond slanted figure and then the speed boat,0
got it,1
giant turkey little turkey flamingo flying bird,0
got it,0
bridge with the shapes taken out of it a boat with the square taken out and then the same image for the third one but it its going up and then apple,0
got it,0
pokemon thing with the big ears then the dog with the flat head then the rabbit and then the dog on its hind legs,0
got it,1
I got the triangle and the square the iron the christmas tree and then the windmill,0
got it,1
got the turkey the upside down falcon the sideways falcon and then the flying bird,0
got it,1
