UTTERANCE,LABEL
okay I have a hoof print a sailboat a house and then a sideways sailboat,0
is the first sailboat upside down,0
its the second shape too,0
and then third one is a house,0
got it,1
got it,1
got it,1
the tea kettle an iron a mountain and a windmill,0
got it,1
I have a um fox a baseball field the weird animal shape I think its going to the right and then I have like a hand puppet going downward,0
got it,1
swan the crab raptor and flamingo,0
got it,1
I have a rubber duck a flamingo a crab a hummingbird,0
got it,1
I have a ram a anteater a fish then the shark,1
I didnt have a rubber duck a flying bird a dragon as a swan,0
got it,1
got it,1
have a birthday cake a weird sailboat and aero ok the second sailboat or the fur of a birthday cake right side up weird sailboat aero and then sideways two sailed up and down,0
got it,1
got it,1
and the triangle square the rocket ship the weird sailboat and then like the shapes falling off,1
the triangle speedboat  a palm tree and a boat,0
got it,1
I have a house I have a plant in a square box a tepee and an  arrow  going right,0
do you repeat that,0
yeah I have a house I have a plant like thats in a box a tepee and then like chevron going to the right,0
got it,1
its a raptor flying bird a rooster and a swan,0
got it,1
I have a duck a big flying bird a dragon and a crab,1
I have a butler upside down lady with a handkerchief rightside up ready so with a handkerchief on her head is pointing left and then a person running,0
ok so its butler right side up lady sideways lady and then skydiving guy,0
okay got it,1
I have an apple a parallelogram a houseboat and a triangle with cutouts ,0
got it,1
a turtle a cat a bunnie and weird shapes looks like a giraffes head is coming out from the right,0
I got it,1
I have a dog I have okay dog going down or dog going to the left an arrow going upward in the last weird shape,0
does the last one is that they have like a tail its pointing up to the right,0
yeah,0
got it,1
a barn a steamboat a ramp and a weird shape counts like a capital b,0
got it,1
okay the weird terrier thing going to the right a cat in alpaca and then a cat laying down so the second the second picture is a cat standing the fourth picture cat lying down,0
got it,1
the half a christmas tree a steamboat a weird shape and a pot,0
got it,1
a person reading or praying a got a square body guy walking down whereas the ninja kicking upwards and then the arrow head,0
got it,1
I have a crow a loch ness to a peacock and this swan,0
got it,1
I have a three sail sailboat I have like a chair with no leg I have the house with the little chimney and then I havem like a flame,0
got it,1
loch ness looking shape the bird standing up a peacock and brown bird thats flying,0
does the third shape have a triangle foot,0
the second shape as a triangle foot the third shape is looking backwards and its upside down the last one is flying,0
got it,1
I have the person like laying down reading it the dancing salsa lady I have the guy with the triangle body running upward and then the person thats going to the right,0
got it,1
I have upside down boat with the square on it the three sailed sailboat um looks like a shark with a box on head or a plant and then the two sales here,0
so the first one is like a kind of an upside down boat with a block on,0
yeah,0
ok got it,1
okay I have an up sit down loch ness monster a skinny crow a fat crow and a swan,0
got it,1
a flying bird a flamingo pointing its to the right loch ness upside down flamingo,0
what are the first two,0
the first one is a flying the second one is a flamingo pointing it to the right,0
got it,1
I have a baseball field a fish going downward a fish with its mouth open going upward and hten a cat,0
got it,1
I have a house a right side up face the sideways vase and then the plant,1
I have a butler on one foot I have a large man running upward with a like skinny body or like no body then I have the square bodied guy thats going upwards in the model with the weird body,1
I have a shark a loch ness the rocket ship in a ram,0
got it,1
I have a guy laying in a coffin I have the lady with the handkerchief I have the dog person and then the guy with his legs spread apart,1
a ram a dog a giraffe and an airplane,0
I got it,1
okay I have a guy like holding a pizza to the left a guy with his legs spread apart the model walking down ward and then  the fetal position,1
handkerchief lady the pizza guy the lady walking down and then  the butler,0
got it,0
okay I have a large man running to the right I have a like a somersault guy crouched over I have a skydiving person and then I have guy completely upside down,0
got it,1
I dont know what happened there but I have the ram a alpaca a kangaroo and a rabbit,0
okay got it,1
okay I have an arrow pointing to the left I have a bridge then I have a bigger bridge and then I have its like the last weird shape its got like a triangle like pointing upwards and then theres like a square cut out,0
got it,1
I have a spaceship going down a squirrel with like a mario hat on a rabbit and a spaceship going up,0
ok got it,1
ok I have a fish going downwards and then I have a fox and then I have a two like triangles on top of each other with a diamond on top of that and then I have this weird like slanted rectangle with like triangles coming off of it,0
got it,1
I have a chipmunk and an alpaca a fish and a whale,0
is the fish the arrow one,0
yeah,0
okay got it,1
I have a person completely upside down with hes holding a triangle and then I have a it almost looks like a man like like laying on a sled like going upwards and I have a guy in the fetal position and then have the dog person,0
think I got it,0
so you said the person thats upside down holding something sliding person on all fours and then dog person,0
got it,1
the crow a dragon without a tail flying bird and uh flamingo,0
okay got it,1
I have a sailboat going upwards I have another boat and its got like a rectangle cut out and then I have like the Eiffel Tower slash a rocket ship and then the upside down mountain,0
got it,1
I have a crab a peacock a raptor a flying bird,0
okay got it,1
I have a sailboat with two sails its like a long boat and then I have another sailboat with one big triangle one small triangle and then I have a triangle and then i have it looks like another crab to me but its got like two arms and two feet,0
got it,1
I have a sailboat a house a upside down sailboat with one square on it and a vase,0
got it,1
I have a speedboat going upwards a palm tree the slanted triangle okay the second palm tree the on the leaves are in the top left corner and then its the slanted triangle and the bottom palm tree the leaves are in the bottom left corner,0
got it,1
a dragon without a tail a flamingo flying bird big flying bird with just a triangle on its head,0
ok got it,1
okay got it,1
okay I have a ram I have an ant eater a bunny and then like a mouse on its hind legs or a squirrel,0
got it,1
I have a triangle and a square iron tree a propeller head upside down,0
got it,1
I have a dragon I have a skinny crow with its head upward an upside down skinny crow and then a flying bird,0
got it,1
I have a barn a square and triangle a sailboat and a candle,1
okay I have a bunny laying down a bunny sitting up and then it almost looks like a loch ness monster kinda or like a boat with like a big thing coming off of it and then the last one is like it has like a triangle and then a parallelogram coming off of it I dont know if you know that what it looks like,0
got it,1
I have a sailboat a pipe a bridge and a teepee,0
got it,1
okay I have a big flying bird with a small head a loch ness monster a seal and then a crab,0
sorry can you repeat those,0
yeah I have a big flying bird the loch ness monster a seal and then a crab,0
got it,1
I have a crab a ram a bunny and a chipmunk or a mouse,0
got it,1
I have a crab I have a peacock I have a a flying bird with a small head and then a smaller bird,0
smaller is like a hummingbird almost,0
yeah,0
got it,1
I have a whale a fish with weird fins a ram facing left and a ram like standing on his backseat facing right,0
got it,1
I have a um rocket ship going to the right I have a fox and then I have two triangles on top of each other with a square on top and then I have the last shape,0
the third one is the triangles and the last ones just like a bunch of weird shapes,0
yes,0
got it,1
I accidentally hit done so I have a sailors hat a triangle bodied person triangle and speedboat,0
okay got it,1
seventy percent okay I have a person a big person at the top hes holding a triangle and then I have a it looks like a pregnant lady kind of with only one leg with a square head then a person completely upside down and then the last person is like a triangle body with like the big part of the triangle to the left,0
got it,1
I have a tugboat half a tree or a speedboat and a palmtree,0
okay what were the last two,0
speedboat and a palm tree,0
okay got it,1
I have a pipe I have half a christmas tree I have a parallelogram with part of it cut off and then I have a yacht,1
a whale a ram fish loch ness,0
got it,1
I have a fat crow a flamingo a crab and then a hummingbird,1
and the person standing on one leg the other leg in the air year um it looks like a lady in a dress their head back shes holding like a triangle birdhouse head and then some guy tapping or topping his hat off,0
okay got it,1
I have a dragon a seal a flamingo and a rooster,0
can you repeat those please,0
yeah a dragon a seal a flamingo and a rooster,0
got it,1
okay the loch ness with the head pointing right loch ness with the head pointing down whale kangaroo,0
got it,0
okay i rode the flying bird the sparrow and loch ness monster,0
got it,1
ok I have like the smaller sailboat with two sails and then I have a bigger sail boat with two sails its upside down I have the unfinished desk and the triangle square,0
got it,1
a flying bird rooster other flying bird with the weird head and flamingo,0
got it,1
I think I got it,1
a speedboat tree yacht bridge,0
got it,1
turtle bear um weird looking squirrel fox,0
got it,1
i have the arrow to the right the sailboat um the seal and then the avalanche,0
got it,1
the raptor facing up the duck crow upside down raptor,0
got it,1
camel turtle dog monster Loch Ness monster,0
think I got it,1
hammer one uh sail sailboat three sail sailboat torch,0
got it,1
palm tree crab looking thing sideways bridge and then it almost looks like a bong I guess,0
I was thinking the same thing I got it,1
okay got it,1
ok i have like a pterodactyl thing an upside down swan and a flying bird and a fat crow,0
got it,1
a key a trapezoid speed boat yacht,0
got it,1
arrow half christmas tree palm tree eraser,1
birdhouse head pregnant lady pregnant lady facing head to the left a dog person,0
got it,1
um flying bird with small head seal flamingo rubber duck,0
sorry can you uh say that again,0
one second,0
okay flying bird with a small head seal flamingo rubber duck,0
got it,1
got it,1
hammer candle boat sailboat,0
got it,1
rabbit fox dog spaceship,0
got it,1
okay i have like the lady in the dress with like in the triangle of the guy upside down i have like the pregnant lady and then the person like walking,0
got it,1
a rubber duck crow peacock flying bird,0
got it,1
got it,1
the rabbit fox spaceship alpaca,0
got it,1
flying Bird Loch ness monster fat crow a skinny crow,0
got it,1
got it,1
a sailboat um a windmill indian head arrow and then it kind of looks like a duck upside down,0
what were the first two,0
a sailboat and then the windmill,0
got it,1
a speedboat bridge ramp triangle person,0
got it,1
fox squirrel on two legs kind of kind of a horse and then like the parallelogram with the triangles coming out and then the last flying weird shape,0
got it,1
that was my bad a crab raptor weird shapes um flamingo,0
got it,1
I have the triangle body thing a vase um a palm tree and then a sailor hat,0
got it,1
the fox bear alpaca spaceship,0
got it,1
sailboat upside down speedboat triangle yacht,0
got it,1
I got a upside down swan seal flamingo Loch Ness ,0
sorry can you repeat that,0
the upside down swan seal flamingo and Loch Ness,0
okay got it,1
ok I have the sailboat with three sails the two arrows the sailboat on its side with two sails and then the weird arrow pointing left or right,0
got it,1
the yacht yacht scissors sailboat um or it could be a bowl now that theres a bong,1
i have the rubber duck the skinny crow the swan and the weird flying bird with a small head,0
you said crow duck swan flying,0
um duck crow swan flying,0
got it,1
kangaroo crab stingray turtle,0
got it,1
I have the person with the arrowhead pointing downward the lady with the handkerchief in a dress a guy on one leg holding a triangle and then a weird guy on one leg running to the left,0
got it,1
a yacht steamboat triangle crab,0
got it,1
rubber duck swan flamingo flying bird,0
got it,1
um lady holding her handkerchief a person running to the right person and just weird shapes,0
got it,1
oh one second,0
I have the sailboat the speed boat the triangle body and then the triangle,0
got it,1
a person running to the right weird shapes uh birdhouse head and the waiter,0
got it,0
got it,1
I have the sailor hat the triangle body the triangle and this speedboat,0
got it,1
waiter the praying person like spread person the huge triangle blue person,0
got it,1
I have a houseboat half a christmas trees speedboat palm tree,0
could you repeat those please,0
yeah i have a houseboat a christmas tree a  speed boat and a palm tree,1
I have a pipe a christmas tree half a yacht and a weird shape,0
got it,1
I have a whale a ram a fish and a lochness monster,0
got it,1
a hummingbird a crow a flamingo a crab,1
I have a person running up a lady with a handkerchief the arrowhead and then the butler on one leg,0
could you repeat those please Im sorry,0
no youre fine I have the big guy running upward the lady with the handkerchief the arrowhead guy and then the butler on one foot,1
the dragon seal  flamingo rooster,0
got it,1
I have the loch ness monster like going straight like right side and then downward and then the tornado and the kangaroo,0
got it,1
chevron seal sailboat Abraham Lincoln,0
got it,1
uh loch ness monster flamingo dragon  swan,0
got it,1
a hand puppet pluto mastiff maybe a terrier dog and then the squirrel was a Mario hat on,0
got it,1
lochness monster tornado bunny arrow,0
got it,1
the peacock dragon duck um flamingo,0
got it,1
a hexagon sailboat  houseboat half a parallelogram,0
got it,1
sailboat windmill tugboat plant,0
got it,1
a slope vase  cave slash yacht home plate the slope vase cave home plate,0
got it,1
flying big flying bird crow upside down flying bird flying to the right flying bird down,0
got it,1
I have tetris a christmas tree double arrow  candle no flame,0
got it,1
as the pizza man lady walking down legs spread dude and someone looks like theyre doing the electric slide,0
got it,1
I have a house a sailboat on vast a candle,0
got it,1
a pinata a tornado the loch ness and the whale,0
Im sorry can you say that again,0
yet the pinata or looks like an alpaca a tornado loch ness whale,0
I got it,1
okay I have this weird house shape the one thats right set up the sailboat the one thats like sideways and then I have a bowl,1
I have a chipmunk the terrier the dog going down and then I dont know where it is no animal with a triangle on his chest,0
I got it,1
I have a swan dragon crab flying bird,0
got it,1
the square a square nose dog robot dog speckled fox and pluto,0
okay got it,1
I have a yacht the sailboat the pipe and the bong,0
got it,1
got it,1
okay I have the arrowhead guy the upside down butler the guy kicking a football and then the model walking downward,0
got it,1
the house the tetris the birthday cake shark with a box,0
got it,1
raptor flying bird going to the left upside down flying bird going to the right and then the small flying bird,0
got it,1
pipe apple  speedboat arrow,0
got it,1
um unlit candle bow with a cargo hammer Eiffel Tower,0
got it,1
animal with a weird tale its kind of like the Mario hat squirrel crab asn then a dog facing life,0
got it,1
I have the seal the rooster the loch ness monster and the raptor,1
pluto loch ness dog chipmunk,0
got it,1
the triangle body vase cat head in a parallelogram,1
lochness crow rooster swan,0
got it,1
fish dog loch ness monster ram,0
got it,1
bridge pipe barn chip bowl,0
okay got it,1
I have the square body guy the guy running to the left the model walking to the right and the race car dude going up,1
the hummingbird the crow the sparrow and the flying bird,0
got it,1
crab hummingbird duck with two feet crow,0
got it,1
dog giraffe loch ness fox,0
got it,1
police guy with his hand up lady with anger chief triangle body and then big guy running to the right,0
could you repeat those please,0
yeah police man with his hand out lady with anger chief triangle body and the guy running towards the right,0
got it,1
ramp speed boat house ruby,0
got it,1
fox with a tail bunny loch ness monster ram,0
got it,1
pipe,0
pipe the pole pulling boat tow boat  the chip bowl and capital p,0
got it,1
I have the square bodied guy the model walking down the guy with the triangle body running to the right and then that weird shape,0
got it,0
I have a skinny crow a loch ness a fat crow and a flying bird,0
okay,1
ok can can okay,0
ok i have a tornado a horse with a bushy tail a dog running towards the chipmunk,0
got it,1
so bow and arrow a windmill and a duck,0
got it,1
got it,1
I have a airplane a robot dog the horse and a fox,1
I have a crab a flamingo a raptor and a loch ness,1
I have like a old milk jug a sailor hat a triangle person and the palm tree,0
got it,1
I have a cat riding on an alpaca then theres a rocket ship and a bear,0
fancy I got it,1
got it,1
I have a duck who grew two feet a loch ness monster a flamingo that broke its neck and a seal,0
got it,1
I have the chip bowl theyre all fighting to get into it theres three chips a sailboat a chevron and double sided arrow,1
I have the chip bowl the pipe the yacht and the scissors,0
got it,1
I have a crow a swan a flying bird and a legless duck,0
got it,0
you can if you believe,1
okay I believe okay I have a tortoise a kangaroo a sting ray and a crab,0
man Ellen you have a lot of crabs today I got it,1
I have a birdhouse head a person running a waiter and a handkerchief lady,0
apparently I do but I got it,1
okay I have a yacht that gets stopped by a crab then theres a three three sided shape and a freight boat,0
got it,1
I have a duck pointing up a flamingo a swan its a black swan and a flying bird going up,1
alright hang on,0
so batman savin the handkerchief lady while the dude runs away triangle bodies watching at the bottom,0
got it,1
I have a speed boat a birdhouse head a three sided shape and the chip bowl,1
okay Batman and then the bird house guy I think and then the ice skater and then the waiter,0
does the waiter work at Chilis,0
yup,0
yes got it,1
wait what a dog the rocket ship the fish and Batman swimming,0
uh no batman swimming hang on,0
I didnt hear you,0
okay so its the dog the rocket ship the loch ness shredders arm Batman swimming and then the fish,0
ok I got it,0
are you sure,1
ok I have a bridge a slanted shape a rocket ship and the letter no not a rocket ship bridge parallelogram speedboat and the letter c,0
got it,1
I got a rupee a ramp a capital b for Beck and a palm tree,1
okay I have a gymnast with his legs split apart I have batman I have a ninja and a model,0
is the ninja kicking,0
he is,0
got it,1
got two shapes a duck Abraham Lincoln and then a seal,0
I dont see Abraham Lincoln but I got it,1
I have a speedboat a milk jug a cats head and a dorito bowl,0
doritos sound so good I got it,1
I have a tool used to hit nails into things um double sided arrow house with a rocket ship attached to it and a house with just a silo its probably a barn,0
definitely a barn,1
I have a Russian guy a barn a duck and then right side up Russian guy,0
got it,1
i have a right side up got a yacht a yacht that looks like the titanic a bowl or a glass tobacco pipe and a apple,0
it has to be glass,0
has to be,1
I have a guy flailing their arms while theyre running vigorously to the left I have a chilis worker I have a lady with a handkerchief and I have a guy doing the stinky leg,0
that legs stinky got it,1
ok got a batman weird shapes with a square um somebody that has two triangles coming out of them and the triangle bodied person,0
ok,1
are you the texter that just says k to like a long paragraph,0
no I dont do that but my mom does I got a pipe a cat head a rubpee ruby whatever and a houseboat,0
got it,1
okay,1
i have a seal i have chevron i have a christmas tree and i have an avalanche i guess you call this abraham lincoln,0
got it okay,0
okay,0
okay so look at his the like the pieces at the top those are his beard and then that triangle thats like to the left top left is his nose and then that his eyebrow socket the bottom left in the bottom right is his chin,0
top right do you see it,0
no but but lets continue,0
hes upside down but yes lets continue,1
okay I have a square guy then I have a bike person and I have a model and a pregnant fish,0
got it,1
I have a hummingbird a crow a flamingo and a duck,0
okay,1
I have a triangle body a dorito a sideways dorito bowl a comb and a bridge,0
got it,1
I have a windmill a tetris a barn and a footprint,0
okay,1
i have a punter a ice skater a salsa dancing later a salsa dancing lady and a gymnast,0
I just completely blocked out the query that I was opposed to answer sorry can you repeat those please,0
yeah I got a punter an ice skater a salsa dancing lady and a gymnast,0
got it,0
okay I have a sailboat a pot a pipe and an arrow,0
got it,1
I have scissors a sailboat a hat with triangles and the ramp,0
got it,1
ok I didnt I have a pot thats upward I have a pot thats like sideways a hammer and then a boat,0
got it,1
