UTTERANCE,LABEL
I got it,0
I got a rooster I got a flamingo I got super shredder and I got a big ole flying bird,0
done,1
I think I ten minutes okay they got running dog squirrel fox the first one doesnt look decapitated  a dog but I guess I got it,0
oh thats sweet hes decapitated,0
okay uh dang I did miss a rough sideways rubber ducky big flying bird upside down rubber ducky other flying bird,1
I missed a lot of that because for some reason youre very very quiet and the like the query came on,0
got it,1
I gots the dragon I gots an upside down crow I got crabby oh and then I got turkey,0
got it,1
I got a bike I got Lance Armstrong uh I got walking square chest walking downward I got a triangle chest and I cant even tell whats going on on this bottom one with,1
okay big running dude big triangle chest dude arrowhead and uh laying down of a weird arm,0
what is with this,1
good description for the two stupid dogs got it,0
I got bear I got bunnie I got camel I got a squirrel,1
a houseboat oh my god,1
okay somersault dude lying on some stomach the weird arm uh upside down dude and other dude anyway speak,0
poor guy,1
you didnt have to start over I had that I got it ,1
home plate big ol apple palm tree mexican hat dance with killer triangles eating its tacos,0
he said again,0
can you say that again no not really Im done,0
I got the dog hitting done,0
apple hosueboat pipe and the bridge,1
tekken tacos got,0
rooster rubber ducky swan dragon,0
fifty percent got it,0
lets talk about bunny baby lets talk about camels too then I got a fox that looks like a cat and then followed up by squirrel and then,1
yeah you got it right,0
its just it speaks to my heart you know it goes down to my soul,0
point delta okay I got it,1
I got a camel got a dog with a square snouts square snout and then I got a parallelogram grand with a few triangles out of it theres a couple of grams and a parallelogram its ok though and then I got another weird animal I have no idea what it,1
the dog I got,0
flamingoes seal crow flying bird,1
got it,0
turtle fish dog oh I guess is another fish this last fish has like a diamond head it at the top,0
thats right I got it,0
the way it did,0
okay I have a sideways flamingo I have this like flying bird going downward I have this duck with two little feet and then I have this like giant duck with a triangle tale triangle foot,0
was butler right side up first I cant remember uh he was third and then the one going downwards fourth,0
got it,1
ok Ive got a bunny Ive got a cat laying down with white dots in it Ive got like some weird animal with like triangle feet going downward and then I have a whatever that is,1
is it a guy with like a giant hail hitler,0
so JT,0
got it,0
Ive got a sailboat I got a pipe I got an arrow and I got a pot,1
got it,1
I got an x I got a boat i got a pot and then this other pot sideways yo,1
got it,1
lobster crow upside down duck with two little feet and then a flying bird,0
I got a speed boat I got this other boat with like a triangle arrow coming out of it I got a stove and then I got a yeah another thing,0
did you did you not understand that or are you just saying that,0
uh its got like a white diamond in the middle of it,0
thats the word I was looking for I almost said like kaleidoscope,0
gotcha,1
okay I got seal I got flamingo got lobster I got a big flying bird with big wings,1
I got ya,1
I got a boat shop with expanding square okay I got a boat got an iron I got a birthday cake and then I got like an upside down little boat,1
got it,0
I got a desk that some people have called it I got Abraham Lincoln I have a step and then I have like an arrow to the right ,1
gots it ,0
okay i have a lady laying down on her stomach i have an upside down person with his leg out like he kicked a soccer ball and then i have a weird guy with a tail,1
got it,1
