UTTERANCE,LABEL
all right so i have the boat to the side the upside down boat the house and then the weird shape,0
okay,1
sorry my button wasnt working  Ive got a dog facing down a dog on doggone hind legs a weird crab thing and there like a squirrel or some shit,0
does the last one just look like a whole bunch of random shapes kind of,0
yeah like we got thrown together with human and animal parts,0
all right i got it,1
okay so I have the upside down sailboat upside down windmill triangles and then the weird shapes,0
got it,1
Ive got a kettle the upset and windmill iron and an upside down mountain,0
got it,1
ok I have the fox then the baseball diamond and then the square was shapes to the right and then the just whole bunch of random shapes,1
okay Ive got a flamingo bird with a tail the duck with two feet and weird crap thing,0
got it,1
alright I have the duck and theyll see the crab the flamingo then the random shapes,1
okay Ive got this weird shovel headed thing a fish swimming up a fish swimming down and then an anteater or something,0
um can you do that again I had a query,0
yeah Ive got like weird shovel headed shape and in have a fish swimming up with its mouth open a fish swimming down and an anteater,0
okay I got that,1
okay so I have the swan with no feet the duck with no free the one wing flying bird and then the last one has two triangles to the right and left,0
got it,1
Ive got a dog a bunny a like kinda looks like a ram and then a big whale,0
ok,1
I got the arrow the two sailed sailboat suicide the birthday cake and the right side up sailboat,0
got it,1
Ive got an upside down  mountain the triangle square house like an m shape in it and Abraham Lincoln,0
got it,1
I have the candle the boat the triangle square and then the shapes,1
right Ive got the palm tree a triangle looks like a speed boat and then a sideways sailboat,0
got it,1
my bad must have messed up I have the arrow pointing to chevron whatever the Russian hat guy the house with an m and in the house with an arrow,0
right I think I got it,1
all right ive got a bird with a tail a bird with two feet a flying bird and a rooster,0
got it,1
alright I have the duck with no feet the crab the flying bird and then the two triangles bird thing,0
got it,1
grown ups upset down guys like handing someone a bowl or something this weird message shapes that sideways the falling woman and then the mess of shapes thats right side up,0
got it,1
okay I have the apple the triangle with two squares missing the rom- or parallelogram and then the last one,0
got it,1
got a cat sitting down a bunny a turtle and then this weird thing,0
got it,1
okay I have the damn the rabbit thats running down and then the rabbit thats running to the left and then the arrow and then the mess of shapes,0
got it,1
rather weird has a stop sign saying a slant a sideways batman mask and then a boat with a lot of stuff on it,0
got it,1
all right i have the llama or alpaca the laying down foxes standing up fox and then the shapes,0
got it,1
have a christmas tree in a research thing the boat was lost stuff on it and then a vase,0
got it,1
ok I have the triangle head guy the book reading by the football kicking guy and then the guy,0
got it,1
Ive got a bird with like its neck pulled a fat crow upside down bird with two feet and then loch ness monster,0
got it,1
I have the chair missing a back leg the trapezoid rhombus the sailboat and then the blockage shapes,0
got it,1
I got a big bird with a tail a flamingo this weird mess of  shapes and then if you look at it with head tilts laughter its a bird flying up,0
got it,1
I have the lady in the dress the book reading the person running up the right side and then shapes,0
got it,1
okay I got the upside down for the Russian guy the sideways sailboat and then the triangles and trapezoid,0
got it,1
alright Ive got this weird message shapes the thin crow the fat crow and a swan,0
got it,1
okay I got the flying bird the flamingo to the standing on the left lost this monster than upside down flamingo,0
got it,1
Ive got the baseball diamond a fish swimming down fish swimming up and then the fox with a bunch of freckles,0
ok I got that,1
got it,1
Ive got the woman a dress address a guy like leaning forward handing someone a triangle guy lifting his leg up really high and then guy,0
got it,1
got it,1
Ive got a guy doing the splits upside down a guy laying on his back the weird mess of shapes and then a guy with a tail,0
okay I think I got it,1
all right i have the giraffe the ram the airplane or fish or whatever and then the shapes,0
got it,1
getting hold on,0
okay Ive got a guy with like a long arm sticking out a guy upside down kinda doing the splits leading dress sideways and again a fetal position,0
got it,0
