UTTERANCE,LABEL
got,1
got a seal a duck a crow and a hummingbird,0
got it,1
got it,1
I have a palm tree half an apple a whole apple and a rupee,0
got it,0
got it,1
got it,1
got it,1
no that ones the fourth one,1
got it,0
got a speed boat a bridge half a christmas tree and a sailboat,0
got it,1
ive got this thing with like one leg up and his tail going to the top right corner ive got the fox with all the freckles ive got like a gazelle or a deer or something and then i have a hand puppet,1
I got a bunny a fish a dog and a shark,0
got it,1
got it,1
got it,1
Ive got-- Ive got the ram a fish swimming down a cat hunched over and then a kangaroo,0
got it,0
got it,1
ive got a crow a rooster a seal and a duck,0
got it,0
I got a duck sea serpent a flamingo and a dragon,0
got it,1
got a dog on one foot a whale a tornado and a fish,0
got it,1
I got a cave a boat a speedboat and then the palm tree,1
ive got the sea monster a squirrel a kangaroo and a fish,0
got it,1
got it,0
I got a hold on,1
ive got a pine tree an apple a sailboat and a speed boat,0
got it,1
hes like look at that look at that scene above me I got it,1
got a flamingo bird flying down a seal and then the turkey vulture,0
got it,1
ive got a rooster a crow a turkey vulture and a crab,0
got it,1
I got monster a crow a swan and a flying bird,0
got it,1
ive got the sailboat with one sail a birthday cake upside down boat with a box and then a sailboat with three sails,0
got it,1
got it,1
I got a giraffe a dog going down a turtle and then a squirrel,0
got it,1
i got three sail a tepee a desk,0
got it,0
Ive got triangle body the person pointing up guy kicking a waiter,0
got it,1
got it,1
got it,1
a fish open mouth a fish swimming sideways a fish swimming upward and then a ram ,0
got it,0
Ive got a hammer a sailboat a seal and an avalanche,0
got it,1
i got the chevron triangle diamond the pot and the shark,0
got it,1
Ive got the kind of sideways rupee thing home plate a cats face and then a normal rupee,0
flying bird rooster crow duck,0
got it,1
flying bird hummingbird vervet tail flamingo,0
got it,0
got it,1
ive got the palm tree letter c a sailboat and a cave,0
got it,1
got it,1
yeah like its kind of like a person laying on their stomach,0
okay,1
I got a sailboat a footprint upside down sailboat and a house,0
got it,1
Ive got a dog a squirrel on its hind legs a crab and then this squirrel just walking,0
got it,1
I got a boat an upside down sailboat  a windmill and a feather,0
got it,0
kettle Native American iron mountain,1
got it,1
I got a kinky tail a fox a stingray and the hand glove puppet,0
got it ,0
I got flamingo bird with the tail a duck and a crab,0
got it ,1
got a duck got  a hummingbird a crab and a flamingo,0
got it ,1
Ive got a ram thing fish with its mouth open a fish swimming down and then an ant eater,0
got it,0
got a swan dragon a duck and  a flying bird,1
got it ,0
dog bunny ram whale,0
aero sideways bow a cake and a sailboat,1
got it,0
mountain triangle square letter m thing abraham lincoln,0
got it,1
rocket ships sail boat avalanche triangle diamond,0
got it,0
palm tree triangles speed boats sail boat,1
got it,0
an arrow  shark m house,1
got it,0
bird with the tail duck flying bird rooster,1
got it ,0
duck crab dragon and a big flying bird,0
got it,1
Ive got a butler guy sideways lady with a handkerchief a boob girl than normal personal with the handkerchief,1
lets see apple tp a boat and that last shape,0
got it,0
cat bunny turtle and boy are cheap,0
I think its a giraffe,1
got the dog got a fish got a squirrel and then I got a goat it looks like a triangle head ,1
okay I have two dogs uh is the first one going down,0
yeah its sideways,0
okay I think I got it,1
well shitokay Ive got half a stop sign a slant a batman mask and then a giant boat thing,1
the third ones a bee right,0
okay got it,1
a llama a laying down standing up and the dog,0
got it,1
ive got a christmas tree an eraser  a giant boat thing and a vase,1
got it,0
lets see I got the arrow head the box body the guy reading and the guy kicking,0
got it,1
got a bird with a crunched up neck fat crow a duck with flags and  the loch ness monster,0
got it,1
got it,0
bird the tail flamingo loch ness monster bird flying,0
got it,1
get a dancing lady a crouched lady a reading person a triangle body,0
got it,0
its got a russianin a sideways sailboat with two upside down both the box then three sails,1
got it,1
cats crow fat crows swan and sea monster,0
got it,0
flying bird upside down flamingoes sideways flamingo a sea monster,0
got it,1
lets see ive got open mouth laying down  a what is that stingray and then the fish swimming down,0
got it,1
upside down bowl Russian sideways ball lighter,0
got it,1
so yeah big guy the biggest guy no woman in a box man and then a guy catching somehting,0
got it,0
open mouth sea monster ram swimming down fish thing,1
uh can you repeat that I was answering a query with trouble,0
giraffe whale thing a ram and then like a something with a tail its really straight up or just a hand puppet,1
got it ,0
got a sword man upside down man a  woman a crouching man,0
got it,1
