UTTERANCE,LABEL
ok I have a sideways sailboat an upside down sailboat a house and whatever that last thing is,0
okay I have it,1
ok i have a dog going downwards i have a horse kind of with a really long tail then i have a crab its like a rectangle with like four different shapes coming out of each of the corners and then i dont really know what the last shape is it kind of looks like to me it looks like pluto and its too its like hes going downwards and his mouth is like those two open triangles,1
got it,1
got it,1
ok i have a fox on two legs i have the baseball diamond and i dont know its like some animal looks like a heads on the right and then a tail on the left and then whatever the shape is at the bottom i dont know its like sloping to the bottom i dont know its like sloping to the bottom right sort of,0
does it almost look like a hand puppet with a slanted triangle on the end of it,0
yeah sure,1
okay got it,0
I have a flamingo I have a chicken with long tail I have a duck with two feet and I have a crab,1
got it,0
rubber ducky crab flamingo and the last thing with three triangles on it,0
okay I have it,1
ok i have a fish i have an arrow going downwards i have a it looks like almost like an ant eater kind of its got like two bigger legs on the bottom and then it has a tail going up in the right corner and then like uh it almost looks like it has no neck and then the bottom one to me looks like a squirrel its going downwards and its tails like going up to the top part,0
got it,0
ok upside down swan rubber ducky flying chicken and then like a bird with two triangle wings,0
got it,0
okay I have a dog a laying down bunny and then to me this kind of looks like a goat with um like horns on the top its head is going like the top left corner and then the little parallelogram coming off of it is like the horns and then the two triangles are like its legs I dont know if you got that,0
okay that was ok i have the thing with like the two legs that are on the left well i dont know i guess they both could have two legs i dont know the smaller of the two objects at the bottom and like the wider one thats all the way from left to the right side i have is the third one is that right,0
no switch those two,1
okay i guess ill switch it and then ill hit done,1
okay I have an arrow pointing to the right I have a birthday cake I have a sideways sailboat and then the bottom ones like the bigger upright sailboat,0
got it,1
I have an upside down mountain a triangle square a big pyramid with two cut outs and Abraham Lincoln,1
done,1
okay rocket a big sailboat the triangle in the diamond and then I forget what we said this thing was with the two shapes coming out of it,0
got it,1
palm tree square speedboat um sailboat,0
I meant triangle not square for the second one,1
thats the last one,0
got it,0
ok oh sorry,1
got it,0
got it,1
i got it,1
okay i have a person skydiving and then i have a person thats completely upside down its like holding a triangle and then i think the second or the third one looks like a lady the head is like the square part and then she is like a long like old fashioned dress on and shes holding a square and then the last one is one second,1
and then the last one is that same shape but its tipped on its side,0
got it,1
does it almost look like an apple with a chunk out,0
yes I almost said apple actually so that was the third one,1
okay then I got it,0
okay have a cat sitting down I have a bunny laying down I have a turtle and then I have pluto like the disney character I think,0
got it,0
okay I have a dog going downwards I have like a bigger dog that looks like its going to the left I guess and I have a twenty four hundred feet okay and then I have like an arrow pointing upward with a diamond head at the bottom and then I have the last thing with like a big uh what diamond tail on the right side ,0
yep I got it,1
its home plate the slope the stove and the freight boat,0
all right thank you,1
does the third one look like a horse,1
okay I have a half christmas tree I have a slant or a parallelogram thats cut off a freight boat and then I have a pot,1
done,0
got it,1
okay I have a fat crow a duck with two feet Loch Ness monster and then something with like a big triangle body,0
I got that,1
I got it,0
that was crazy okay I have a bird with a very big body and like a one little triangle foot okay one second,0
ok I have a like i said the bird with the big body and then I have the flamingo looking backwards and then I have the bird with the tiny head and then I have the last shape,0
I got it,0
okay I got an upside down sailboat I have a slope i have scissors and i have the weird sailboat with like upside down sails,0
nacho party,1
yes nacho party,0
got it,1
okay a house with a hammer an upside down bowl and then sideways bowl,1
got it,0
okay I have a dog going down that has a square snout that I have the other dog going down then I have the like animal going to the left that has long triangle legs and then I have the other dog going to the left,1
I got it,0
okay have a flying bird flying to to the south well not some salad flying up to the north I guess then I have crow and then I have a duck that grew two feet and then I have the crab,0
you have crabs I got it,1
okay Ive an apple I have an upside down apple I have a speedboat and a parallelogram,1
I have a speed boat the letter p or a stove thats holding a freight or no yeah a freight boat and then a cave seatbelt be free,1
done,0
ok upside down person doing the splits lady falling down a sliding person and then whatever the heck this thing is at the bottom,1
I call it a Batman mask but I got it,0
I always wondered what the Batman mask thing was when I listen in the other room okay hitting done,1
a I have a seal a hummingbird a crab not crabs and a flamingo looking at the crab,1
okay got it ,0
I have a cave have an arrow I have nacho party and yeah the last thing,1
nacho party sounds fun but I got it,0
okay I have a weird sailboat an iron a Chinese boat and cake,0
got it,1
I got it I think the last one looks like a horse the long tail,1
ok I have a I have a blinkin desk so at his desk and then a blink in and then he playing tetris and then theyre chevron with there,0
so is Abe Lincoln first or second,0
its his desk and then Abe Lincoln,0
ok thats a bit confusing that I got,1
oh Ive loch ness monster I have a fish I have the chipmunk I think and then I have what my brother refers to as a pooping lion thats on one leg,0
i see it i see,0
okay I have the model walking down wired the punter the weird upside down police man and a dog person,0
got it,1
okay llama fish tornado ram,0
sorry can you say it again,0
I have llama fish tornado ram,0
got it,1
palm tree boat bridge triangle button,1
got it,1
crab peacock flying bird,0
got it,1
fifteen minutes okay seal pot iron windmill,0
I got it,0
cave speedboat the christmas tree is speedboat going downward,1
got it,0
I have a sailboat I have the half christmas tree I have the regular pipe then I have the sideways pipe were at the bottom the stuff you put this in the pipe goes at the top,1
is this like square part is that at the top for last one,0
yeah thats what I was trying to say but I said it all weird and dumb,0
okay got it,1
bunny tornado alpaca cat,1
got it,1
twenty minutes and upside down apple triangle man sailboat regular apple,0
got it,1
feather house russian sailboat,0
can you repeat that please,0
yeah feather house Russian sea or sailboat is the last one,0
gats stiffed,1
flamingo raptor swan seal,0
got it,1
dragons flamingo sparrow flamingo flamingo ok the second flamingoes looking back the fourth flamingo is regular,1
forty one knots okay I have the raptor flamingo flying bird rubber ducky,0
got it,0
windmill  seal rocket ship birthday cake,0
I didnt have to move a thing got it,1
ok lobster houseboat sailboat and yeah the last thing,0
got it,1
windmill Chinese bow hammer house,0
got got it,1
five minutes ok hand puppet tornado bunny and weird dog,0
got it,1
I have a fat crow a raptor flying bird and a rooster,0
got it,1
forty four knot five minutes thrirty four hundred feet and okay I have a fox I have a ram I have the pooping lion and I have the dog,0
got it,1
bunny fish rocket ship cat,0
I think I heard the last two rocket ship and cat what were the first two,0
bunny  fish rocket ship cat,0
got it,1
apple parallelogram bridge speedboat,0
got it,1
salsa dancing lady model gymnasts with his legs split and then the runner,0
got it,1
got it,1
a baseball field course so the long tail crab loch ness monster,0
got it,1
twenty minutes okay have a cat I have the pooping lion I have a rocket and whats last thing a shark I think somebody said parallelogram of triangles out of it,0
got it,1
triangle guy waiter pregnant lady model,0
got it,1
fifteen minutes okay giant upside down guy triangle body person  running giant person and then a falling down flying person,0
got it,1
triangle apple houseboat slope,0
done,1
so mad ok christmas tree a bridge I have a slope where it looks like youre walking off a cliff I guess and then a slope where the points at the top,0
got it,1
ten percent okay I have a sailboat with the smaller sail sideways then I have an upside down bigger sailboat then I have a house and then I have another thing like a big paw print or something,1
got it,1
okay I have a dog a crab it looks like to me a horse on two legs and its got a big tail and then the last shape,1
I got it,0
ok I have the Native American I have the bunch of triangles I have the upside down sailboat and then I have the other boat,1
got it,0
teapot indian a cat no teapot indian iron and mountain sorry couldnt get that out,1
i got it,0
ok I have the baseball diamond I have the cat or the fox on two legs um then I have I dont know what animal this is theres like a square head on the right and then a tail on the left and theres some other big shape at the bottom,0
does the last one look like a hand puppet going downward,0
yeah,0
go away speak,0
okay got it,0
I have the flamingo chicken with a long tail a bird with  or a duck with two feet and crab,0
done,0
rubber ducky flamingo crab and a flying bird with the big wings,0
got it,1
ok sorry it moved I have a fish I have an arrow going downward I have an ant eater it looks like an animal with no head okay fish arrow down ant eater slash animal no head and then a ram going to the right,0
a ram I thought I had it till the last one I think I got it though,1
I guess I messed it up my bad I have a swan I have the bird with the big wings I have a rubber ducky and the flying chicken,0
got it,1
did you hit done,0
yes I did,1
ok I have a dog a bunny a ram and then going to the left and then a whale,0
ok there I got it,1
arrow pointing to the right the cake the birthday cake then I have the sideways smaller sailboat and then the bigger upright sailboat,0
got it,1
mountain triangle square triangle with the cut outs Abraham Lincoln,1
got it I cant,1
okay a sailboat a rocket um the triangle in the square and then I cant remember what we called this this uh thing with two shapes coming out of it,0
got it,1
Im not sure whats going on with all these buttons today,1
sometimes you have to hit speak and then hit re hit done um i have a palm tree a triangle a speed boat and then a sail boat,0
oh I like the speedboat description ill remember that got it,1
ok I got a house with a triangle chimney I have like a weird arrow pointing to the right I have the triangle with the two cut outs in it and then the last thing,0
got it,1
okay I have a chicken with the long tail I have a bird with two feet a flying bird and then a rooster,0
got it,1
ok a rubber ducky crab the flying bird with the big triangle wings and then the other flying chicken thing,0
I got it,1
ok I have the upside down butler thats holding a triangle I have the lady with an old fashioned dress whose holding a handkerchief but shes sideways I have the skydiving guy and then I have the same lady in the dress but shes upright,1
got it,0
okay I have an apple I have a triangle with the two white doors I have a parallelogram and I have a weird little boat thing,0
got it,1
I have a cat sitting down I had on I have a turtle and then I have pluto the dog,0
got it,1
if you turn your head down it kind of looks like an indian like or it you turn your head to the right kind of looks like an indian,0
but I got it,0
whoa whoa you blew my mind I totally see that now Im hitting done,0
okay I have home plate or what looks like kind of like home plate I have a slant downward I have a stove with a diamond cut out and then I have like a freight boat,0
got it,1
okay I have a cat on two feet I have the other cat laying down with the white dots in it I have a what is it it looks like a long neck animal but I dont want to say giraffe I dont know what it is it has a tail and then I have another like dog or something with four legs,0
an alpaca but I got it,0
okay,1
okay I have a christmas tree I have a freight boat a pot and then a a parallelogram thats cut off,0
done,1
okay I have a person laying down with the triangle head I have a person with a square chest walking down I have a person with the foot straight up in the air and I have a person lying stomach first reading its triangle hand,1
okay okay a fat crow I have a duck with two feet I have a loch ness monster and then I have like a peacock with a crouched neck,1
okay I have like a stair then I have a sailboat with three sails then I have these two shapes next to each other one of them is like a parallelogram and then this bottom things almost like a sideways house with a chimney,1
I have a like a big like sparrow bird I have a flamingo I have a flying bird with a small head and then I have like an upside down big loch ness monster,0
got that slightly,1
got it,1
I have the Russian the two sailed sailboat the three sailed sailboat and then like a another boat but its upside down,0
got it,1
okay Ive skinnier crow then I fatter crow then I have the swan and then I have whatever that thing is at the bottom,0
got it,1
flying bird upside down flamingo flamingo with its foot to the left loch ness monster,1
gots its,0
got it,1
okay I have the guy with a split legs the model walking down the guy doing one legged push up and the pregnant lady,0
got it,1
ok I have the swan the flamingo the loch ness monster and the crab,0
got it,1
fetal positions split leg triangle body weird shape,0
got it,1
I have the tornado I have the loch ness monster I have the dog and I have this weird thing I think its a shark I dont know,0
I got it,1
I have the ram the tornado the arrow going up and the weird dog,0
got it,1
I have the slope I have the triangle man I have the upside down apple then I have the big normal apple,0
got it,1
I have half a christmas tree a bridge a cave and a half stop sign,0
got it,1
okay I got a sailboat I have an arrow going to the right I have the chevron and I have the pot,0
I got it,1
got it,0
I have the crow the crabs the loch ness monster and the rubber ducky,0
got it,1
bunny fish bunny laying down giraffe,0
okay I have the woman standing on one leg bending backwards I the person with a weird tale I have the person laying down reading a triangle and then I have the falling lady,0
got it,1
I have the split leg guy the square body guy the guy holding a pizza and the arrowhead guy,0
I like the pizza I got it,1
