UTTERANCE,LABEL
the house or a boat i guess you could say is a square missing out on the bottom and then the one that has the two triangles on either side of the rectangle and then the third one looks like a speed boat is facing its coming driving straight down now and then the rectangle at the triangle missing on the right,1
got it,1
yeah I dont either,1
so you have the small sailboat the with two sails the one with three sails then the seal at the bottom,0
alrighty got it,1
woman in a dress with her arms up the biggest one the guy running I got the house at the chimney and a little shed in front and then the square body guy with his head on the right side,0
got it,1
got it,1
got it,1
got it,1
fetal position upside down splits slipping backwards one leg up and then square body,0
got it,1
upside down candle boot christmas tree avalanche,0
is your bottom one like the pokemon thing with the ear coming back and its like slightly less abstract than the third,0
I think I got it {BR},1
all good I got it,1
the first one is a square with four different abstract shapes originating from every point and I have a dog looking down with the diamond tail on the right dog standing on its hind legs the weird head then a fish,1
got it,1
upside down duck bird flying turkey with its head down seal,0
got it parallel sweep,1
thumb tack boat triangle next to a rhombus sailboat on its side,0
thumb tack boat the third one is the triangle next to the square thats been rotated and then the last one is the sailboat on its side or you could say an elongated trapezoid with two triangles on the right side,0
alright I got,1
got a duck a big turkey bird flying a small turkey,0
got it,1
turkey giant triangle bird upside down road runner last one,0
got it,1
house bull sailboat upside down boat,0
got it,1
giant turkey little turkey flamingo flying bird,0
got it,1
pokemon thing with the big ears then the dog with the flat head then the rabbit and then the dog on its hind legs,0
got it,1
got it,1
triangle and square the bird um the house of the long chimney and then the four shapes,1
she was sitting down and then the one laying down,0
okay I got it,1
sailboat sea triangle pipe,1
got it,1
the pokemon thing with the big ears the rabbit sitting down the animal on its hind legs then the x,0
got it,1
squirrel really fat whale bird flying straight down pokemon,0
sorta like a ront leg that ends in a point,0
I guess let its the one that has like the long ears and the two pointy legs,0
got it,1
Ive got the sombrero the speed boat the collection of shapes then the triangle,1
got it,1
speedboat palm tree with the leaves in the bottom left comb houseboat,0
got it,1
bird flying down loch ness monster squirrel whale,0
got it,1
dog leaning over with the triangle guy with a leg coming out of the top woman in the dress holding a triangle then the arrow,0
got it,1
speedboat with a tall tower on the back same shape but its on its side um fat whale praying mantis or kangaroo,1
flamingo monster swan bird flying,0
your last ones a square on the bottom your third one is kind of on its hind legs and the second one has the big square on the left,0
ok they both got squares on the left parallelograms on the right and triangles but one of them is bigger than the other one is your second or the third one the bigger one,0
last one is in the third one you mean is the bigger one,0
ok I think I got it,1
fat whale speedboat with a tower rabbit arrow pointing down,0
yeah no problem its the fat whale it takes up all the space the speedboat with like the tower in the back the rabbit laying down then the arrow pointing down,0
got it,1
um rectangle with a point up to the left in the triangle missing then the houseboat then an upside down sailboat,0
got it,0
weird shape with the point in the left the apple the boat and then the house on its side with the door,1
got it,1
birthday cake sailboat upside down bird string of triangles,0
got it,1
upside down vase shape with the dots around it scissors arrow,0
got it,1
Im gonna start from the bottom upside down crow the fat one then the square with the shape comin out of every corner then the fat road runner on its side and then the top one is like a boat with a tower on top of it,0
that was starting from the bottom,0
got it,0
the avalanche hold on,1
avalanche rotated then the picture frame the house with the really tall chimney and the string of triangles,0
got it,1
man holding a tray at eye level um the woman holding a triangle thats tipping over but its on its side the bottom of the dress is on the right side then a very strange one with two triangles at the top pointing up and then the bottom one is like a guy running and he has a triangle coming out of the back,0
got it,0
avalanche the four shapes trapezoid on the left top hat with the rabbit comin out string of triangles,0
could you say that one more time,0
got it,1
upside down flamingo boat with a tower on it upside down swan turkey,0
upside down upside down flamingo is the first one and then the boat with the tower on it in the back its tall in the back,0
got it,1
string of triangles bird takin a shit shark with a square head on the right sailboat,1
got it,1
uh really zoomed in kind of blurry person that looks like theyre holding a triangle tray out but then their legs so they can be like sitting in a mini car something i dont know second one its the upside down guy holding a triangle the third one its the guy bending over holding the triangle with the shark fin on his ass and then the last one is the guy running with the triangle coming out of the back,0
got it,1
swan seal turkey crow,0
got it,1
palm tree bridge with two shapes taken out of it on its side then triangle with the two rectangles taken out of it facing upright and then the house with the doorway,1
got it,1
giraffe pokemon fat tree whale,0
got it,1
got it,1
fish fat tree rabbit laying down dog,0
got it,1
I have the three shapes the small diamond with the two wings coming off to the right then the hammer the birthday cake,0
yep my first one is the three separate shapes then the hammer then the birthday cake then the picture frame,0
got it,1
guy kicking his leg up arrow pointing down guy holding a tray at eye level and then the blurry lady in the dress,1
got it,1
bird taking a shit sailboat with two sails upside down boat with a square cabin um house with the chimney on its side,1
it goes flamingo hold on,0
you said flamingo swan rooster goofy one,0
got it,1
bird with its wings spread flying um this weird triangle body big triangle body bird the fat crow and then the seal rotated,1
got it,1
diamond arch trapezoid ship,0
you do you mean the rectangle with the triangle missing and then an arrow,0
got it,1
boat bowl candle house,1
got it,1
when windmill thumbtack boot  boat,1
got it,1
windmill with the blades on the right house with the tall chimney upside down boat double arrow,0
woman in a dress holding a triangle with the head on the left its one of the big ones then the woman in the dress with her hands up then just the guy holding the triangle upright and then the dog going down holding the triangle,0
got it,1
flamingo upside down seal duck and then the last one the big triangle bird,0
got it,1
dog on its hind legs person looks like theyre skipping holding a flat tray triangle body running and then the big guy with the leg coming out of the top,0
the dog on its hind legs and then the person that looks like theyre almost skipping and theyre holding a tray out right,0
which ones the squirrel which ones the rat,0
its like on its hind legs with the head on the right side,0
and your third one is the fox,0
okay I got it,1
the vertical dog with the triangle on the far left then the dog with the square nose and the parallelogram tail on the right then the upside down christmas tree and the monster,0
pipe like the l thing and then the rectangles the hammer or,0
ok got it,1
rooster upside down flamingo bird flying with wings with the head in the upper left and then the same shape but the heads in the bottom left,0
got it,1
guy riding a bike person holding a tray straight out triangle body running up and then the last one,1
house um arrow with two triangles speedboat going down apple,0
house the one with all the shapes arrow and two triangles speed boat going down then an apple,0
uh could you repeat that please,0
okay I got it now thanks,1
person in a dress no arms fetal position shark man giant upside down man,0
Im sorry could you repeat that one more time,0
okay got it,0
uh is youre done button stuck,0
okay uh triangle body running up biggest one upside down splits falling backwards,0
got it,1
steamboat big rectangle with two triangles on either side then the key then the sailboat,0
mhm,0
got it,1
turkey giant roadrunner upside down crow whatever and then the giant triangle bird,0
got it,1
crow flamingo or sideways flamingo upside down flamingo upside down rooster,0
got it,1
