UTTERANCE,LABEL
the house or a boat i guess you could say is a square missing out on the bottom and then the one that has the two triangles on either side of the rectangle and then the third one looks like a speed boat is facing its coming driving straight down now and then the rectangle at the triangle missing on the right,1
got it,1
got it,1
I dont play pokemon but I can go with that,0
yeah I dont either,1
oh shoot,1
beautiful,0
okay I have a sideways little sailboat I have the big sailboat holy shit what is going on here this might be a sailboat as well but it has three sails on it and its sideways and then whatever this last animal is at the bottom,0
so you have the small sailboat the with two sails the one with three sails then the seal at the bottom,0
yes sir,0
alrighty got it,1
woman in a dress with her arms up the biggest one the guy running I got the house at the chimney and a little shed in front and then the square body guy with his head on the right side,0
done,1
got it,1
I believe I got that,1
got it,1
got it,1
got it,0
got it,1
got it,0
fetal position upside down splits slipping backwards one leg up and then square body,1
nice and easy,0
ok I have a person with a hand up like hes saying stop I have a giant blurry person with a triangle chest I have like an upside down person with a weird arm and then I have this huge figure that I dont know whats going on there I see a head somewhere,0
got it,1
upside down candle boot christmas tree avalanche,0
got it,1
k I have a bunny I have a baseball diamond is what weve been calling it and shit I cant tell this picture is okay the third one I have like a animal on two legs the two legs look like theyre on the left side and the bottom one I cant tell what this picture is so whatevers left,0
is your bottom one like the pokemon thing with the ear coming back and its like slightly less abstract than the third,0
Im sorry say that again I was doing a query and I messed it all up {LG},1
I think I got it {BR},0
alrighty,1
all good I got it,1
the first one is a square with four different abstract shapes originating from every point and I have a dog looking down with the diamond tail on the right dog standing on its hind legs the weird head then a fish,1
got it,0
upside down duck bird flying turkey with its head down seal,1
got it,1
got it parallel sweep,1
thumb tack boat triangle next to a rhombus sailboat on its side,1
thumb tack boat the third one is the triangle next to the square thats been rotated and then the last one is the sailboat on its side or you could say an elongated trapezoid with two triangles on the right side,0
okay got it,1
yes bottomline is definitely a squirrel looking thing so yeah,1
alright I got,0
got a duck a big turkey bird flying a small turkey,0
nice,1
alright so first I have the sailboat thats not upside down its to the side and then I have the upside down sailboat and then I have the house and then I have the shapes like a foot print,1
got it,1
got it,0
ok so I have the upside down sailboat the all the triangles and then the really weird shape,1
got it,0
I got tea kettle upside down windmill iron and upside down mountain,1
got it,0
ok so I got the like fox and then the baseball diamond and then I think someone described this as a whale it has the square on the left hand side and then a whole bunch of shapes to the right and then I have the rhombus to the right hand side then a whole bunch of shapes to the left,1
I got it,0
a flamingo a ostrich duck with two feet and the ninja star,1
I have duck with no feet ninja star flamingo random shapes,1
I think I got it,1
okay so I have the fish and then the shark and then the I dont know how to describe these last ones one has like a just a triangle at the very butt of it and then one has like a whole bunch of blocky shapes the last one looks more blocky than the second to last one,1
I think I got it,0
I got upside down rubber ducky a flying bird with a beak facing downward another flying bird with two big triangles for wings and then an upside down swan,0
got it,1
ok so I have the bunny laying down then the rabbit running down it looks like an upside down whale and then the I guess it looks like kind of a dog,0
got it,1
I got a birthday cake sailboat an arrow and a smaller sailboat sideways,0
got it,1
ok I have the upside down mountain the triangle and square then the big triangle with missing pieces and then the last one,1
got it,1
okay I have the upside down candle rocket ship sailboat then the triangle and square and then the triangle with the whole bunch of shapes,1
got it,1
a palm tree triangle looks like a speedboat and then a sailboat,0
got it,1
got it,1
alright I got a upside down god I cant think of it now a ostrich oh my god a upside down duck with two feet flying bird flying downward and then a rooster,1
got it,1
okay so I got the duck with no feet the ninja stars the bird flying with the solid wing and then the last one has two triangles to the sides,1
did you get that,1
alrighty an upside down guy holding a triangle with a diamond as a head oh god and the third one is the actual person with triangle arms running downward and the fourth one looks I even know its got a big triangle hold on,1
well theyre the same image so which one is like sitting on the right and which one sitting on the bottom,0
the fourth one is the one thats the kind of upward with the trial the diamond at the very top and the triangle to the left if that helps,0
yep I got it,1
all right so i got the apple the triangle the boat and then the shape,1
got a cat standing up facing downward bunny laying down a turtle and that weird shape,0
got it,1
okay so I got the rabbit running down a rabbit running to the left the arrow pointing up and then the weird shape,1
a I got the huge shape its got a trapezoid and a rectangle smushed together a ramp a weirdly shaped letter B in a way and then a steamboat it looks like,1
yeah I got it,1
okay so I got the llama or alpaca then the laying down fox the standing up fox and then the weird shape,0
I had a query sorry say that one more time,0
I have the llama or the alpaca then the laying down fox then the standing up fox and then the weird shape,0
got it,1
yeah I got that,1
okay so i have the triangle are the arrowhead guy then the kicking football guy then the book reading guy and then the last guy,0
got it,1
right the first one um its got like a triangle I dont even know its the big one bigger bird out of all of them and then the crow and then the upside down duck with two feet and the loch ness monster,0
got it,1
okay I have the chair missing the leg the rhombus and trapezoid the the effed up looking sailboat and then the just shape giant blob,1
got it,0
I got a almost an ostrich looking bird with his feet as a triangle as one triangle of why looking back flamingo the second one upside down a weirdly shaped loch ness monster upside down and then a flying bird going with his head facing the bottom left corner,0
got it,1
got it,1
ok,0
all right i got the lady in a dress arrowhead splits in the air and then big triangle body dude,0
got it,1
I got Natalie Portman I got a hummingbird I got flamingo,0
could you repeat that again sorry,0
I got natalie portman hummingbird flamingo flying bird ,0
got you on that one,1
got it,1
okay {BR},1
got it,1
I got a house sailboat hot soup symbol russian dude,1
scott it,0
got it,1
ok ok,0
got it,1
I got crabs I got batman I got seal I got rubber ducky,0
all right,0
got it,0
you should try to describe the white spaces on this one,1
got it,1
I got hot soup I got chevron I got boot I got tree,0
yep,0
all right i got a whole bunch of birds the first bird looks like a bird the next bird doesnt quite look like a bird after that this bird is just like a birdie im just playing all right so the first bird is the one flying to the left and then the next one is an upside down rooster and then the next one is a flamingo and then the last one is a big bird,0
got it,1
I have all of those in the corresponding positions,1
okay okay okay I got the chevron I got the tea kettle looks like its calling the pot black which you know pretty mean and then I have a couple of sailboats the first sailboat has superimposed sails and the last sailboat has three separate sails,0
does the last one have like three kind of individual sails that can not like really connecting as much as the other one,1
I got a turkey looking thing Hayley wait until Im done talking to give them to me Jesus seal and then I got raptor fat raptor then I got a flamingo,1
got it,1
I got weird looking dog facing downward I got chipmunk I got fish I got spotted fox,1
got it,1
I got crow Loch Ness monster flamingo hummingbird,1
yes sir,0
ok i got weird dog tail man uh the loser sliding on his stomach going up and then the triangle body guy and then its the weird dog guy on the side,0
got it,1
wait is the uh last guy running upward,0
correctomundo,0
